csv_file,from,to,max_ratio,avg_ratio
algeria_population_by_wilaya_2022,10071,12306,1.22192,1.1799
australia_population_by_state_and_territory_2021,14681,15557,1.05967,1.04825
austria_population_by_state_2020,9965,10898,1.09363,1.08057
bahamas_population_by_district_2010,19091,20299,1.06328,1.04544
simplified_belgium_population_by_region_2022,98,429,4.37755,2.62343
belgium_population_by_region_2022,3963,4557,1.14989,1.13736
brazil_population_by_state_2021,9881,11524,1.16628,1.13428
china_population_by_province_2020,9903,11876,1.19923,1.16828
conterminous_usa_population_by_state_2020,9755,11728,1.20226,1.17289
usa_population_by_county_2021,50811,194138,3.82079,1.96919
croatia_population_by_county_2021,5807,7098,1.22232,1.17385
croatia_covid_cases_by_county_2022,5786,7153,1.23626,1.16179
egypt_population_by_governate_2017,9773,11717,1.19892,1.15716
england_population_by_region_2022,13516,14916,1.10358,1.0879
NUTS_population_by_country_2021,36004,37820,1.05044,1.04528
NUTS_population_by_region_2020,11605,56441,4.86351,1.85966
france_population_by_metropolitan_region_2008,9870,11282,1.14306,1.12023
germany_population_by_state_2011,3884,4818,1.24047,1.19626
indonesia_population_by_province_2024,5362,6041,1.12663,1.09155
japan_population_by_prefecture_2020,9833,11898,1.21001,1.17455
malaysia_population_by_state_2020,9944,10735,1.07955,1.06631
metropolitan_france_population_by_departement_2022,9937,13136,1.32193,1.26988
russia_population_by_federal_subject_2010,9762,17345,1.77679,1.32083
singapore_population_by_planning_area_2015,9847,24393,2.4772,1.30253
switzerland_gdp_in_billion_chf_by_canton_2019,9863,11988,1.21545,1.17914
switzerland_population_by_canton_2016,9917,11820,1.19189,1.16095
tunisia_population_by_governate_2014,9931,10980,1.10563,1.08121
usa_population_by_state_2020,9979,11753,1.17777,1.14559
vietnam_population_by_province_2019,9935,11347,1.14212,1.12102
world_population_by_country_2010,14668,42982,2.93032,1.38754
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,22806,34686,1.52092,1.33642
csv_ne50_antimeridian_minus169_brewer_pop,23289,51562,2.21401,1.31859

Average: 1.6219775
Median: 1.200745
