NUTS_NAME,Cartogram Data (eg. Population),Color,Inset,Label
Abruzzo,1300645,,,
"Adana, Mersin",4034593,,,
Agder og Sør-Østlandet,730725,,,
"Ağrı, Kars, Iğdır, Ardahan",1124898,,,
Åland,29789,,,
Alentejo,705478,,,
Algarve,438864,,,
Alsace,1903646,,,
Andalucía,599723,,,
Ankara,8427405,,,
"Antalya, Isparta, Burdur",5503985,,,
Aquitaine,3137694,,,
Aragón,3458041,,,
Área Metropolitana de Lisboa,1320586,,,
Arnsberg,2846332,,,
Auvergne,3582497,,,
"Aydın, Denizli, Muğla",1370432,,,
"Aνατολική Μακεδονία, Θράκη",3093015,,,
Aττική,3736737,,,
"Balıkesir, Çanakkale",1767237,,,
Basilicata,558587,,,
Basse-Normandie,1467715,,,
Bedfordshire and Hertfordshire,1871847,,,
"Berkshire, Buckinghamshire and Oxfordshire",2417428,,,
Berlin,3644826,,,
Bourgogne,1623815,,,
Brandenburg,2511917,,,
Bratislavský kraj,659598,,,
Braunschweig,1596396,,,
Bremen,682986,,,
Bretagne,3347004,,,
Bucureşti-Ilfov,2315173,,,
Budapest,1752286,,,
Burgenland,293433,,,
"Bursa, Eskişehir, Bilecik",4089156,,,
Calabria,1912021,,,
Campania,5740291,,,
Canarias,2206901,,,
Cantabria,581641,,,
Castilla y León,2407733,,,
Castilla-La Mancha,2034877,,,
Cataluña,7566431,,,
Centre — Val de Loire,2567768,,,
Centro (PT),2216569,,,
Centru,2318272,,,
Champagne-Ardenne,1317548,,,
Chemnitz,1436445,,,
Cheshire,931347,,,
Ciudad de Ceuta,83517,,,
Ciudad de Melilla,84689,,,
Comunidad de Madrid,6641649,,,
Comunidad Foral de Navarra,649946,,,
Comunitat Valenciana,4974969,,,
Cornwall and Isles of Scilly,568612,,,
Corse,342256,,,
Cumbria,498083,,,
Darmstadt,3998724,,,
Dél-Alföld,1237101,,,
Dél-Dunántúl,879596,,,
Derbyshire and Nottinghamshire,2210381,,,
Detmold,2055310,,,
Devon,1195198,,,
Dolnośląskie,2865072,,,
Dorset and Somerset,1336003,,,
Drenthe,492167,,,
Dresden,1598199,,,
Düsseldorf,5202321,,,
East Anglia,2521676,,,
East Wales,1168000,,,
East Yorkshire and Northern Lincolnshire,932645,,,
Eastern and Midland,2411912,,,
Eastern Scotland,1998699,,,
Eesti,1330068,,,
Emilia-Romagna,4459453,,,
"Erzurum, Erzincan, Bayburt",1086156,,,
Espace Mittelland,1877154,,,
Essex,1841887,,,
Észak-Alföld,1450960,,,
Észak-Magyarország,1126360,,,
Etelä-Suomi,1152719,,,
Extremadura,1065424,,,
Flevoland,416546,,,
Franche-Comté,1177762,,,
Freiburg,2264469,,,
Friesland (NL),647672,,,
Friuli-Venezia Giulia,1210414,,,
Galicia,2700441,,,
"Gaziantep, Adıyaman, Kilis",2795617,,,
Gelderland,2071972,,,
Gießen,1047262,,,
"Gloucestershire, Wiltshire and Bristol/Bath area",2516568,,,
Grad Zagreb,808785,,,
Greater Manchester,2822003,,,
Groningen,583990,,,
Guadeloupe,417161,,,
Guyane,282107,,,
Hamburg,1841179,,,
Hampshire and Isle of Wight,1993050,,,
Hannover,2149805,,,
"Hatay, Kahramanmaraş, Osmaniye",3289122,,,
Haute-Normandie,1853117,,,
Helsinki-Uusimaa,1671024,,,
"Herefordshire, Worcestershire and Warwickshire",1352539,,,
Highlands and Islands,470990,,,
