NAME_1,Population,Color,Inset,Abbreviation,CC_1
Adrar,399714,#FFFFFF,C,AR,1
Aïn Defla,766013,#FFFFFF,C,AD,44
Aïn Témouchent,371239,#FFFFFF,C,AT,46
Alger,2988145,#FFFFFF,C,AL,16
Annaba,609499,#FFFFFF,C,AN,23
Batna,1119791,#FFFFFF,C,BT,5
Béchar,270061,#FFFFFF,C,BC,8
Béjaïa,912577,#FFFFFF,C,BJ,6
Biskra,721356,#FFFFFF,C,BS,7
Blida,1002937,#FFFFFF,C,BL,9
Bordj Bou Arréridj,628475,#FFFFFF,C,BB,34
Bouira,695583,#FFFFFF,C,BU,10
Boumerdès,802083,#FFFFFF,C,BM,35
Chlef,1002088,#FFFFFF,C,CH,2
Constantine,938475,#FFFFFF,C,CO,25
Djelfa,1092184,#FFFFFF,C,DJ,17
El Bayadh,228624,#FFFFFF,C,EB,32
El Oued,647548,#FFFFFF,C,EO,39
El Tarf,408414,#FFFFFF,C,ET,36
Ghardaïa,363598,#FFFFFF,C,GR,47
Guelma,482430,#FFFFFF,C,GL,24
Illizi,52333,#FFFFFF,C,IL,33
Jijel,636948,#FFFFFF,C,JJ,18
Khenchela,386683,#FFFFFF,C,KH,40
Laghouat,455602,#FFFFFF,C,LG,3
M'Sila,990591,#FFFFFF,C,MS,28
Mascara,784073,#FFFFFF,C,MC,29
Médéa,819932,#FFFFFF,C,MD,26
Mila,766886,#FFFFFF,C,ML,43
Mostaganem,737118,#FFFFFF,C,MG,27
Naâma,192891,#FFFFFF,C,NA,45
Oran,1454078,#FFFFFF,C,OR,31
Ouargla,558558,#FFFFFF,C,OG,30
Oum el Bouaghi,621612,#FFFFFF,C,OB,4
Relizane,726180,#FFFFFF,C,RE,48
Saïda,330641,#FFFFFF,C,SD,20
Sétif,1489979,#FFFFFF,C,SF,19
Sidi Bel Abbès,604744,#FFFFFF,C,SB,22
Skikda,898680,#FFFFFF,C,SK,21
Souk Ahras,438127,#FFFFFF,C,SA,41
Tamanghasset,176637,#FFFFFF,C,TM,11
Tébessa,648703,#FFFFFF,C,TB,12
Tiaret,946823,#FFFFFF,C,TR,14
Tindouf,49149,#FFFFFF,C,TN,37
Tipaza,591010,#FFFFFF,C,TP,42
Tissemsilt,294476,#FFFFFF,C,TS,38
Tizi Ouzou,1172607,#FFFFFF,C,TO,15
Tlemcen,949135,#FFFFFF,C,TL,13
