city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Algiers,36.7764,3.0586,Algeria,DZ,Alger,primary,3415811,3415811
Oran,35.6969,-0.6331,Algeria,DZ,Oran,admin,852000,852000
Constantine,36.3650,6.6147,Algeria,DZ,Constantine,admin,448374,448374
Blida,36.4722,2.8333,Algeria,DZ,Blida,admin,331779,331779
Batna,35.5500,6.1667,Algeria,DZ,Batna,admin,290645,290645
Sétif,36.1900,5.4100,Algeria,DZ,Sétif,admin,288461,288461
Djelfa,34.6667,3.2500,Algeria,DZ,Djelfa,admin,265833,265833
Annaba,36.9000,7.7667,Algeria,DZ,Annaba,admin,257359,257359
Sidi Bel Abbès,35.2000,-0.6333,Algeria,DZ,Sidi Bel Abbès,admin,212935,212935
Biskra,34.8500,5.7333,Algeria,DZ,Biskra,admin,204661,204661
Tébessa,35.4000,8.1167,Algeria,DZ,Tébessa,admin,194461,194461
Tiaret,35.3667,1.3167,Algeria,DZ,Tiaret,admin,178915,178915
Bejaïa,36.7511,5.0642,Algeria,DZ,Bejaïa,admin,176139,176139
Tlemcen,34.8828,-1.3167,Algeria,DZ,Tlemcen,admin,173531,173531
Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZ,Bordj Bou Arréridj,admin,168346,168346
Béchar,31.6333,-2.2000,Algeria,DZ,Béchar,admin,165627,165627
Skikda,36.8667,6.9000,Algeria,DZ,Skikda,admin,163318,163318
Souk Ahras,36.2864,7.9511,Algeria,DZ,Souk Ahras,admin,155259,155259
Chlef,36.1647,1.3317,Algeria,DZ,Chlef,admin,155134,155134
M’Sila,35.7058,4.5419,Algeria,DZ,M’sila,admin,150000,100000
Mostaganem,35.9333,0.0903,Algeria,DZ,Mostaganem,admin,145696,145696
Médéa,36.2675,2.7500,Algeria,DZ,Médéa,admin,138355,138355
Tizi Ouzou,36.7169,4.0497,Algeria,DZ,Tizi Ouzou,admin,135088,135088
El Oued,33.3683,6.8675,Algeria,DZ,El Oued,admin,134699,134699
Laghouat,33.8000,2.8650,Algeria,DZ,Laghouat,admin,134372,134372
Ouargla,31.9500,5.3167,Algeria,DZ,Ouargla,admin,133024,133024
Jijel,36.8206,5.7667,Algeria,DZ,Jijel,admin,131513,131513
Relizane,35.7372,0.5558,Algeria,DZ,Relizane,admin,130094,130094
Saïda,34.8303,0.1517,Algeria,DZ,Saïda,admin,128413,128413
Guelma,36.4619,7.4258,Algeria,DZ,Guelma,admin,120004,120004
Ghardaïa,32.4833,3.6667,Algeria,DZ,Ghardaïa,admin,120000,120000
Mascara,35.4000,0.1333,Algeria,DZ,Mascara,admin,108587,108587
Khenchela,35.4167,7.1333,Algeria,DZ,Khenchela,admin,108580,108580
Oum el Bouaghi,35.8706,7.1150,Algeria,DZ,Oum el Bouaghi,admin,100821,100821
El Bayadh,33.6831,1.0192,Algeria,DZ,El Bayadh,admin,85577,85577
Tamanrasset,22.7850,5.5228,Algeria,DZ,Tamanrasset,admin,76000,67616
Tissemsilt,35.6072,1.8106,Algeria,DZ,Tissemsilt,admin,75197,75197
Bouira,36.3783,3.8925,Algeria,DZ,Bouira,admin,68545,68545
Adrar,27.8742,-0.2939,Algeria,DZ,Adrar,admin,68276,68276
Tindouf,27.6753,-8.1286,Algeria,DZ,Tindouf,admin,45610,45610
Boumerdes,36.7594,3.4728,Algeria,DZ,Boumerdes,admin,41685,41685
El Tarf,36.7669,8.3136,Algeria,DZ,El Tarf,admin,25594,25594
Tipasa,36.5942,2.4430,Algeria,DZ,Tipaza,admin,25225,25225
Illizi,26.5080,8.4829,Algeria,DZ,Illizi,admin,17252,17252
Naama,33.2678,-0.3111,Algeria,DZ,Naama,admin,16251,16251
Aïn Temouchent,35.3044,-1.1400,Algeria,DZ,Aïn Temouchent,admin,,
Aïn Defla,36.2583,1.9583,Algeria,DZ,Aïn Defla,admin,,
Mila,36.4481,6.2622,Algeria,DZ,Mila,admin,,
