NAME_1,Cartogram Data (eg. Population),Color,Inset,Label
Adrar,399714,,,
Aïn Defla,766013,,,
Aïn Témouchent,371239,,,
Alger,2988145,,,
Annaba,609499,,,
Batna,1119791,,,
Béchar,270061,,,
Béjaïa,912577,,,
Biskra,721356,,,
Blida,1002937,,,
Bordj Bou Arréridj,628475,,,
Bouira,695583,,,
Boumerdès,802083,,,
Chlef,1002088,,,
Constantine,938475,,,
Djelfa,1092184,,,
El Bayadh,228624,,,
El Oued,647548,,,
El Tarf,408414,,,
Ghardaïa,363598,,,
Guelma,482430,,,
Illizi,52333,,,
Jijel,636948,,,
Khenchela,386683,,,
Laghouat,455602,,,
M'Sila,990591,,,
Mascara,784073,,,
Médéa,819932,,,
Mila,766886,,,
Mostaganem,737118,,,
Naâma,192891,,,
Oran,1454078,,,
Ouargla,558558,,,
Oum el Bouaghi,621612,,,
Relizane,726180,,,
Saïda,330641,,,
Sétif,1489979,,,
Sidi Bel Abbès,604744,,,
Skikda,898680,,,
Souk Ahras,438127,,,
Tamanghasset,176637,,,
Tébessa,648703,,,
Tiaret,946823,,,
Tindouf,49149,,,
Tipaza,591010,,,
Tissemsilt,294476,,,
Tizi Ouzou,1172607,,,
Tlemcen,949135,,,
