NAME_1,Population (people),Color,Inset,Label
Adrar,439693,,,AR
Aïn Defla,771890,,,AD
Aïn Témouchent,384565,,,AT
Alger,2988145,,,AL
Annaba,640050,,,AN
Batna,1128030,,,BT
Béchar,274866,,,BC
Béjaïa,915835,,,BJ
Biskra,730262,,,BS
Blida,1009892,,,BL
Bordj Bou Arréridj,716423,,,BB
Bouira,695583,,,BU
Boumerdès,802083,,,BM
Chlef,1013718,,,CH
Constantine,943112,,,CO
Djelfa,1223223,,,DJ
El Bayadh,262187,,,EB
El Oued,673934,,,EO
El Tarf,411783,,,ET
Ghardaïa,375988,,,GR
Guelma,482430,,,GL
Illizi,54490,,,IL
Jijel,636948,,,JJ
Khenchela,386683,,,KH
Laghouat,477328,,,LG
M'Sila,991846,,,MS
Mascara,784073,,,MC
Médéa,830943,,,MD
Mila,768419,,,ML
Mostaganem,746947,,,MG
Naâma,209470,,,NA
Oran,1584607,,,OR
Ouargla,558558,,,OG
Oum el Bouaghi,644364,,,OB
Relizane,733060,,,RE
Saïda,330641,,,SD
Sétif,1496150,,,SF
Sidi Bel Abbès,604744,,,SB
Skikda,904195,,,SK
Souk Ahras,440299,,,SA
Tamanghasset,198691,,,TM
Tébessa,657227,,,TB
Tiaret,846823,,,TR
Tindouf,159898,,,TN
Tipaza,617661,,,TP
Tissemsilt,296366,,,TS
Tizi Ouzou,1127608,,,TO
Tlemcen,949135,,,TL
