NAME_1,Population (people),Inset,Label
Adrar,439693,,
Aïn Defla,771890,,
Aïn Témouchent,384565,,
Alger,2988145,,
Annaba,640050,,
Batna,1128030,,
Béchar,274866,,
Béjaïa,915835,,
Biskra,730262,,
Blida,1009892,,
Bordj Bou Arréridj,716423,,
Bouira,695583,,
Boumerdès,802083,,
Chlef,1013718,,
Constantine,943112,,
Djelfa,1223223,,
El Bayadh,262187,,
El Oued,673934,,
El Tarf,411783,,
Ghardaïa,375988,,
Guelma,482430,,
Illizi,54490,,
Jijel,636948,,
Khenchela,386683,,
Laghouat,477328,,
M'Sila,991846,,
Mascara,784073,,
Médéa,830943,,
Mila,768419,,
Mostaganem,746947,,
Naâma,209470,,
Oran,1584607,,
Ouargla,558558,,
Oum el Bouaghi,644364,,
Relizane,733060,,
Saïda,330641,,
Sétif,1496150,,
Sidi Bel Abbès,604744,,
Skikda,904195,,
Souk Ahras,440299,,
Tamanghasset,198691,,
Tébessa,657227,,
Tiaret,846823,,
Tindouf,159898,,
Tipaza,617661,,
Tissemsilt,296366,,
Tizi Ouzou,1127608,,
Tlemcen,949135,,
