city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Nassau,25.0667,-77.3333,"Bahamas, The",BS,,primary,274400,274400
Freeport City,26.5200,-78.6600,"Bahamas, The",BS,City of Freeport,,45945,45945
Marsh Harbour,26.4000,-77.1700,"Bahamas, The",BS,Central Abaco,,6283,6283
Dunmore Town,25.5019,-76.6358,"Bahamas, The",BS,North Eleuthera,,1168,1168
Rock Sound,24.8333,-76.3333,"Bahamas, The",BS,South Eleuthera,,1000,1000
Cockburn Town,24.0513,-74.5297,"Bahamas, The",BS,San Salvador,,271,271
Pirates Well,22.4328,-73.1010,"Bahamas, The",BS,Mayaguana,,235,235
Winton Meadows,25.0333,-77.2667,"Bahamas, The",BS,,,,
Mount Pleasant,25.0167,-77.5167,"Bahamas, The",BS,,,,
Carmichael Village,25.0167,-77.4333,"Bahamas, The",BS,,,,
Clifton,25.0167,-77.5667,"Bahamas, The",BS,,,,
Waterloo,25.0333,-77.5333,"Bahamas, The",BS,,,,
Winton Heights,25.0333,-77.2667,"Bahamas, The",BS,,,,
Camperdown,25.0500,-77.2667,"Bahamas, The",BS,,,,
Millars,24.9849,-77.4304,"Bahamas, The",BS,,,,
Cable Beach,25.0667,-77.4000,"Bahamas, The",BS,,,,
Cunningham,25.0833,-77.4333,"Bahamas, The",BS,,,,
Yamacraw Beach Estate,25.0333,-77.2833,"Bahamas, The",BS,,,,
Adelaide,25.0022,-77.4905,"Bahamas, The",BS,,,,
Highbury Park,25.0333,-77.3167,"Bahamas, The",BS,,,,
Winton,25.0500,-77.2833,"Bahamas, The",BS,,,,
Millar Heights,25.0167,-77.3833,"Bahamas, The",BS,,,,
Nassau Estate,25.0333,-77.2833,"Bahamas, The",BS,,,,
Killarney,25.0500,-77.4167,"Bahamas, The",BS,,,,
Sandilands Village,25.0500,-77.3167,"Bahamas, The",BS,,,,
Belair Estates,25.0167,-77.3667,"Bahamas, The",BS,,,,
Stapleton Gardens,25.0500,-77.3667,"Bahamas, The",BS,,,,
Golden Gates Estates,25.0167,-77.3500,"Bahamas, The",BS,,,,
Coral Harbour,24.9975,-77.4578,"Bahamas, The",BS,,,,
Creek Village,25.0667,-77.3000,"Bahamas, The",BS,,,,
Coral Heights,24.9982,-77.4556,"Bahamas, The",BS,,,,
Sea Breeze Estates,25.0167,-77.3167,"Bahamas, The",BS,,,,
Hope Town,26.5398,-76.9621,"Bahamas, The",BS,Hope Town,,,
Alice Town,25.7292,-79.2961,"Bahamas, The",BS,Bimini,,,
Louis Town,25.5525,-79.2785,"Bahamas, The",BS,Bimini,,,
Nixon’s Harbour,25.6997,-79.3020,"Bahamas, The",BS,Bimini,,,
Bailey Town,25.7433,-79.2867,"Bahamas, The",BS,Bimini,,,
