NAME_1,Population (people),Color,Inset,Label
Acklins,565,,,AK
Biminis,1988,,,BI
Berry Islands,807,,,BY
Black Point,414,,,BP
Cat Island,1522,,,CI
Central Abaco,9196,,,CA
Central Andros,662,,,CN
Central Eleuthera,2363,,,CE
City of Freeport,26914,,,FP
Crooked Island,330,,,CK
East Grand Bahama,23145,,,EGB
Exuma,6514,,,EX
Grand Cay,383,,,GC
Harbour Island,1762,,,HB
Hope Town,691,,,HT
Inagua,913,,,IN
Long Island,3094,,,LI
Mangrove Cay,892,,,MC
Mayaguana,277,,,MG
Moore's Island,593,,,MI
New Providence,246329,,,NP
North Abaco,3772,,,NA
North Andros,4471,,,ND
North Eleuthera,2918,,,NE
Ragged Island,72,,,RI
Rum Cay,99,,,RC
San Salvador,940,,,SS
South Abaco,1867,,,SA
South Andros,1465,,,SD
South Eleuthera,2921,,,SE
Spanish Wells,1551,,,SW
West Grand Bahama,24454,,,WG
