ABR,Region Data,Colors,Region Abbreviation,Region Name
AB,17242,17242,AB,Abaco
AK,565,#d95f02,AK,Acklins
AN,7490,#1b9e77,AN,Andros
BR,807,#e7298a,BR,Berry Islands
BI,1988,#7570b3,BI,Bimini
CI,1522,#1b9e77,CI,Cat Island
CK,330,#e6ab02,CK,Crooked Island
EL,8202,#e7298a,EL,Eleuthera
EM,6928,#e6ab02,EM,Exuma
GB,51368,#7570b3,GB,Grand Bahama
HB,1762,#7570b3,HB,Harbour Island
IN,913,#66a61e,IN,Inagua
LI,3094,#7570b3,LI,Long Island
MG,277,#7570b3,MG,Mayaguana
NP,246329,#d95f02,NP,New Providence
RI,72,#e7298a,RI,Ragged Islands
RC,99,#d95f02,RC,Rum Cay
SS,930,#1b9e77,SS,San Salvador
SW,1551,#1b9e77,SW,Spanish Wells
