shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Acre,906876,,,
Alagoas,3365351,,,
Amapá,877613,,,
Amazonas,4269995,,,
Bahia,14985284,,,
Ceará,9240580,,,
Espírito Santo,3094325,,,
Federal District,4108508,,,
Goiás,7206589,,,
Maranhão,7153262,,,
Mato Grosso,3567234,,,
Mato Grosso do Sul,2839188,,,
Minas Gerais,21411923,,,
Pará,8777124,,,
Paraíba,4059905,,,
Paraná,11597484,,,
Pernambuco,9674793,,,
Piauí,3289290,,,
Rio de Janeiro,17463349,,,
Rio Grande do Norte,3560903,,,
Rio Grande do Sul,11466630,,,
Rondônia,1815278,,,
Roraima,652713,,,
São Paulo,46649132,,,
Santa Catarina,7338473,,,
Sergipe,2338474,,,
Tocantins,1607363,,,
