shapeName,Population (people),Color,Inset,Label
Acre,906876,,,AC
Alagoas,3365351,,,AL
Amapá,877613,,,AP
Amazonas,4269995,,,AM
Bahia,14985284,,,BA
Ceará,9240580,,,CE
Espírito Santo,3094325,,,ES
Federal District,4108508,,,DF
Goiás,7206589,,,GO
Maranhão,7153262,,,MA
Mato Grosso,3567234,,,MT
Mato Grosso do Sul,2839188,,,MS
Minas Gerais,21411923,,,MG
Pará,8777124,,,PA
Paraíba,4059905,,,PB
Paraná,11597484,,,PR
Pernambuco,9674793,,,PE
Piauí,3289290,,,PI
Rio de Janeiro,17463349,,,RJ
Rio Grande do Norte,3560903,,,RN
Rio Grande do Sul,11466630,,,RS
Rondônia,1815278,,,RO
Roraima,652713,,,RR
São Paulo,46649132,,,SP
Santa Catarina,7338473,,,SC
Sergipe,2338474,,,SE
Tocantins,1607363,,,TO
