NAME_1,Cartogram Data (eg. Population),Color,Inset,Label
Anhui,61027171,,,
Beijing,21893095,,,
Chongqing,32054159,,,
Fujian,41540086,,,
Gansu,25019831,,,
Guangdong,126012510,,,
Guangxi,50126804,,,
Guizhou,38562148,,,
Hainan,10081232,,,
Hebei,74610235,,,
Heilongjiang,31850088,,,
Henan,99365519,,,
Hong Kong,7496981,,,
Hubei,57752557,,,
Hunan,66444864,,,
Jiangsu,84748016,,,
Jiangxi,45188635,,,
Jilin,24073453,,,
Liaoning,42591407,,,
Macao,649335,,,
Nei Mongol,24049155,,,
Ningxia Hui,7202654,,,
Qinghai,5923957,,,
Shaanxi,39528999,,,
Shandong,101527453,,,
Shanghai,24870895,,,
Shanxi,34915616,,,
Sichuan,83674866,,,
Taiwan,23816775,,,
Tianjin,13866009,,,
Xinjiang Uygur,25852345,,,
Xizang,3648100,,,
Yunnan,47209277,,,
Zhejiang,64567588,,,
