"shapeName","Cartogram.Data..eg..Population.","Color","Inset","Label"
"Alabama",5024279,NA,"C",NA
"Arizona",7151502,NA,"C",NA
"Arkansas",3011524,NA,"C",NA
"California",39538223,NA,"C",NA
"Colorado",5773714,NA,"C",NA
"Connecticut",3605944,NA,"C",NA
"Delaware",989948,NA,"C",NA
"District of Columbia",689545,NA,"C",NA
"Florida",21538187,NA,"C",NA
"Georgia",10711908,NA,"C",NA
"Idaho",1839106,NA,"C",NA
"Illinois",12812508,NA,"C",NA
"Indiana",6785528,NA,"C",NA
"Iowa",3190369,NA,"C",NA
"Kansas",2937880,NA,"C",NA
"Kentucky",4505836,NA,"C",NA
"Louisiana",4657757,NA,"C",NA
"Maine",1362359,NA,"C",NA
"Maryland",6177224,NA,"C",NA
"Massachusetts",7029917,NA,"C",NA
"Michigan",10077331,NA,"C",NA
"Minnesota",5706494,NA,"C",NA
"Mississippi",2961279,NA,"C",NA
"Missouri",6154913,NA,"C",NA
"Montana",1084225,NA,"C",NA
"Nebraska",1961504,NA,"C",NA
"Nevada",3104614,NA,"C",NA
"New Hampshire",1377529,NA,"C",NA
"New Jersey",9288994,NA,"C",NA
"New Mexico",2117522,NA,"C",NA
"New York",20201249,NA,"C",NA
"North Carolina",10439388,NA,"C",NA
"North Dakota",779094,NA,"C",NA
"Ohio",11799448,NA,"C",NA
"Oklahoma",3959353,NA,"C",NA
"Oregon",4237256,NA,"C",NA
"Pennsylvania",13002700,NA,"C",NA
"Rhode Island",1097379,NA,"C",NA
"South Carolina",5118425,NA,"C",NA
"South Dakota",886667,NA,"C",NA
"Tennessee",6910840,NA,"C",NA
"Texas",29145505,NA,"C",NA
"Utah",3271616,NA,"C",NA
"Vermont",643077,NA,"C",NA
"Virginia",8631393,NA,"C",NA
"Washington",7705281,NA,"C",NA
"West Virginia",1793716,NA,"C",NA
"Wisconsin",5893718,NA,"C",NA
"Wyoming",576851,NA,"C",NA
