AFFGEOID,Population (people),Color,Inset,Label,ALAND,AWATER,COUNTYNS,GEOID,DisplayName
0500000US45001,24295,,,ABB,1272184102,53221051,1245666,45001,Abbeville (0500000US45001)
0500000US22001,57576,,,ACA,1697073813,5934788,558389,22001,Acadia (0500000US22001)
0500000US51001,33413,,,ACC,1163725929,2229259960,1480091,51001,Accomack (0500000US51001)
0500000US16001,494967,,,ADA,2724705225,22159206,395066,16001,Ada (0500000US16001)
0500000US19001,7496,,,ADA,1474404201,2597996,465190,19001,Adair (0500000US19001)
0500000US21001,18903,,,ADA,1049690986,18403521,516847,21001,Adair (0500000US21001)
0500000US29001,25314,,,ADA,1469362059,5468507,765805,29001,Adair (0500000US29001)
0500000US40001,19495,,,ADA,1486337778,8872711,1101788,40001,Adair (0500000US40001)
0500000US08001,519572,,,ADA,3021840487,43702201,198116,8001,Adams (0500000US08001)
0500000US16003,4379,,,ADA,3529648934,17359846,395067,16003,Adams (0500000US16003)
0500000US17001,65737,,,ADA,2214826185,41754318,424202,17001,Adams (0500000US17001)
0500000US18001,35809,,,ADA,877815496,2693924,450401,18001,Adams (0500000US18001)
0500000US19003,3704,,,ADA,1096686256,5367875,465191,19003,Adams (0500000US19003)
0500000US28001,29538,,,ADA,1197464268,65273639,695726,28001,Adams (0500000US28001)
0500000US31001,31205,,,ADA,1458872834,2477681,835823,31001,Adams (0500000US31001)
0500000US38001,2200,,,ADA,2557733900,2894336,1034210,38001,Adams (0500000US38001)
0500000US39001,27477,,,ADA,1512221266,6250108,1074014,39001,Adams (0500000US39001)
0500000US42001,103852,,,ADA,1343400759,7771555,1213656,42001,Adams (0500000US42001)
0500000US53001,20613,,,ADA,4985698856,12464425,1531601,53001,Adams (0500000US53001)
0500000US55001,20654,,,ADA,1672216054,108348982,1581060,55001,Adams (0500000US55001)
0500000US50001,37363,,,ADD,1984788916,107311072,1461757,50001,Addison (0500000US50001)
0500000US45003,168808,,,AIK,2773070091,24554643,1247979,45003,Aiken (0500000US45003)
0500000US27001,15697,,,AIT,4717323601,449370012,663198,27001,Aitkin (0500000US27001)
0500000US12001,278468,,,ALA,2267905452,241297386,308548,12001,Alachua (0500000US12001)
0500000US37001,171415,,,ALA,1096736059,27940532,1008531,37001,Alamance (0500000US37001)
0500000US06001,1682353,,,ALA,1910017353,216902808,1675839,6001,Alameda (0500000US06001)
0500000US08003,16376,,,ALA,1871643028,1670455,198117,8003,Alamosa (0500000US08003)
0500000US36001,314848,,,ALB,1354273421,26971925,974099,36001,Albany (0500000US36001)
0500000US56001,37066,,,ALB,11070455491,89161376,1605066,56001,Albany (0500000US56001)
0500000US51003,112395,,,ALB,1866014147,14223772,1675170,51003,Albemarle (0500000US51003)
0500000US26001,10167,,,ALC,1747349242,2890404966,1622943,26001,Alcona (0500000US26001)
0500000US28003,34740,,,ALC,1036110409,3408033,711755,28003,Alcorn (0500000US28003)
