NAME_1,Population,Color,Label
Bjelovarska-Bilogorska,12787,#7570b3,BB
Brodsko-Posavska,18065,#1b9e77,SP
Dubrovacko-Neretvanska,15811,#d95f02,DN
Grad Zagreb,124334,#7570b3,GZ
Istarska,12351,#7570b3,IS
Karlovacka,17185,#e7298a,KA
Koprivničko-Križevačka,14056,#66a61e,KK
Krapinsko-Zagorska,17317,#66a61e,KZ
Licko-Senjska,6412,#e6ab02,LS
Medimurska,21526,#7570b3,ME
Osjecko-Baranjska,32753,#d95f02,OB
Požeško-Slavonska,7126,#e6ab02,PS
Primorsko-Goranska,49514,#d95f02,PG
Sisacko-Moslavacka,17788,#d95f02,SM
Splitsko-Dalmatinska,71743,#66a61e,SD
Varaždinska,31013,#e7298a,VA
Viroviticko-Podravska,8766,#1b9e77,VP
Vukovarsko-Srijemska,16891,#e6ab02,VS
Zadarska,22699,#1b9e77,ZD
Zagrebačka,48658,#1b9e77,ZG
Šibensko-Kninska,15974,#e7298a,SB
