ZUP_IME,Cartogram Data (eg. Population),Color,Label
Grad Zagreb,233658,#7570b3,HR.GZ
Međimurska,36122,#7570b3,HR.ME
Krapinsko-zagorska,28114,#66a61e,HR.KZ
Varaždinska,51289,#e7298a,HR.VA
Virovitičko-podravska,13621,#1b9e77,HR.VP
Požeško-slavonska,91940,#e6ab02,HR.PS
Koprivničko-križevačka,23065,#66a61e,HR.KK
Bjelovarsko-bilogorska,20809,#7570b3,HR.BB
Vukovarsko-srijemska,27398,#e6ab02,HR.VS
Brodsko-posavska,29229,#1b9e77,HR.SP
Karlovačka,26319,#e7298a,HR.KA
Osječko-baranjska,54866,#d95f02,HR.OB
Sisačko-moslavačka,32097,#d95f02,HR.SM
Ličko-senjska,9835,#e6ab02,HR.LS
Istarska,26698,#7570b3,HR.IS
Zagrebačka,83518,#1b9e77,HR.ZG
Šibensko-kninska,29931,#e7298a,HR.SB
Dubrovačko-neretvanska,35640,#d95f02,HR.DN
Splitsko-dalmatinska,139579,#66a61e,HR.SD
Primorsko-goranska,91940,#d95f02,HR.PG
Zadarska,43926,#1b9e77,HR.ZD
