shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Osijek-Baranja,12787,,,
Vukovar-Syrmia,18065,,,
Brod-Posavina,15811,,,
Virovitica-Podravina,124334,,,
Požega-Slavonia,12351,,,
Sisak-Moslavina,17185,,,
Bjelovar-Bilogora,14056,,,
Međimurje,17317,,,
Koprivnica-Križevci,6412,,,
Varaždin,21526,,,
Krapina-Zagorje,32753,,,
City of Zagreb,7126,,,
Zagreb County,49514,,,
Karlovac,17788,,,
Istria,71743,,,
Primorje-Gorski Kotar,31013,,,
Lika-Senj,8766,,,
Zadar County,16891,,,
Šibenik-Knin,22699,,,
Split-Dalmatia,48658,,,
Dubrovnik-Neretva,15974,,,
