ZUP_IME,Covid Cases (cases),Color,Label
Bjelovarsko-bilogorska,21431,#7570b3,BB
Brodsko-posavska,29941,#1b9e77,SP
Dubrovačko-neretvanska,37304,#d95f02,DN
Grad Zagreb,242426,#7570b3,GZ
Istarska,27607,#7570b3,IS
Karlovačka,27264,#e7298a,KA
Koprivničko-križevačka,23441,#66a61e,KK
Krapinsko-zagorska,28472,#66a61e,KZ
Ličko-senjska,10209,#e6ab02,LS
Međimurska,37318,#7570b3,ME
Osječko-baranjska,56661,#d95f02,OB
Požeško-slavonska,12229,#e6ab02,PS
Primorsko-goranska,96969,#d95f02,PG
Šibensko-kninska,30932,#e7298a,SB
Sisačko-moslavačka,33486,#d95f02,SM
Splitsko-dalmatinska,145045,#66a61e,SD
Varaždinska,52406,#e7298a,VA
Virovitičko-podravska,13905,#1b9e77,VP
Vukovarsko-srijemska,27847,#e6ab02,VS
Zadarska,46466,#1b9e77,ZD
Zagrebačka,86276,#1b9e77,ZG
