ZUP_IME,Population (people),Color,Label
Bjelovarsko-bilogorska,102295,,BB
Brodsko-posavska,130782,,SP
Dubrovačko-neretvanska,115862,,DN
Grad Zagreb,769944,,GZ
Istarska,195794,,IS
Karlovačka,112596,,KA
Koprivničko-križevačka,101661,,KK
Krapinsko-zagorska,120942,,KZ
Ličko-senjska,42893,,LS
Međimurska,105863,,ME
Osječko-baranjska,259481,,OB
Požeško-slavonska,64420,,PS
Primorsko-goranska,266503,,PG
Šibensko-kninska,96624,,SB
Sisačko-moslavačka,140549,,SM
Splitsko-dalmatinska,425412,,SD
Varaždinska,160264,,VA
Virovitičko-podravska,70660,,VP
Vukovarsko-srijemska,144438,,VS
Zadarska,160340,,ZD
Zagrebačka,301206,,ZG
