NAME_1,Population,Color,Abbreviation
Bjelovarska-Bilogorska,12787,#7570b3,HR.BB
Brodsko-Posavska,18065,#1b9e77,HR.SP
Dubrovacko-Neretvanska,15811,#d95f02,HR.DN
Grad Zagreb,124334,#7570b3,HR.GZ
Istarska,12351,#7570b3,HR.IS
Karlovacka,17185,#e7298a,HR.KA
Koprivničko-Križevačka,14056,#66a61e,HR.KK
Krapinsko-Zagorska,17317,#66a61e,HR.KZ
Licko-Senjska,6412,#e6ab02,HR.LS
Medimurska,21526,#7570b3,HR.ME
Osjecko-Baranjska,32753,#d95f02,HR.OB
Požeško-Slavonska,7126,#e6ab02,HR.PS
Primorsko-Goranska,49514,#d95f02,HR.PG
Sisacko-Moslavacka,17788,#d95f02,HR.SM
Splitsko-Dalmatinska,71743,#66a61e,HR.SD
Varaždinska,31013,#e7298a,HR.VA
Viroviticko-Podravska,8766,#1b9e77,HR.VP
Vukovarsko-Srijemska,16891,#e6ab02,HR.VS
Zadarska,22699,#1b9e77,HR.ZD
Zagrebačka,48658,#1b9e77,HR.ZG
Šibensko-Kninska,15974,#e7298a,HR.SB
