NUTS_NAME,Population (people),Color,Inset,Label
Abruzzo,1300645,,,ITF1
"Adana, Mersin",4034593,,,TR62
Agder og Sør-Østlandet,730725,,,NO09
"Ağrı, Kars, Iğdır, Ardahan",1124898,,,TRA2
Åland,29789,,,FI20
Alentejo,705478,,,PT18
Algarve,438864,,,PT15
Alsace,1903646,,,FRF1
Andalucía,599723,,,ES61
Ankara,8427405,,,TR51
"Antalya, Isparta, Burdur",5503985,,,TR61
Aquitaine,3137694,,,FRI1
Aragón,3458041,,,ES24
Área Metropolitana de Lisboa,1320586,,,PT17
Arnsberg,2846332,,,DEA5
Auvergne,3582497,,,FRK1
"Aydın, Denizli, Muğla",1370432,,,TR32
"Aνατολική Μακεδονία, Θράκη",3093015,,,EL51
Aττική,3736737,,,EL30
"Balıkesir, Çanakkale",1767237,,,TR22
Basilicata,558587,,,ITF5
Basse-Normandie,1467715,,,FRD1
Bedfordshire and Hertfordshire,1871847,,,UKH2
"Berkshire, Buckinghamshire and Oxfordshire",2417428,,,UKJ1
Berlin,3644826,,,DE30
Bourgogne,1623815,,,FRC1
Brandenburg,2511917,,,DE40
Bratislavský kraj,659598,,,SK01
Braunschweig,1596396,,,DE91
Bremen,682986,,,DE50
Bretagne,3347004,,,FRH0
Bucureşti-Ilfov,2315173,,,RO30
Budapest,1752286,,,HU51
Burgenland,293433,,,AT11
"Bursa, Eskişehir, Bilecik",4089156,,,TR41
Calabria,1912021,,,ITF6
Campania,5740291,,,ITF3
Canarias,2206901,,,ES70
Cantabria,581641,,,ES13
Castilla y León,2407733,,,ES41
Castilla-La Mancha,2034877,,,ES42
Cataluña,7566431,,,ES51
Centre — Val de Loire,2567768,,,FRB0
Centro (PT),2216569,,,PT16
Centru,2318272,,,RO16
Champagne-Ardenne,1317548,,,FRF2
Chemnitz,1436445,,,DED4
Cheshire,931347,,,UKD6
Ciudad de Ceuta,83517,,,ES63
Ciudad de Melilla,84689,,,ES64
Comunidad de Madrid,6641649,,,ES30
Comunidad Foral de Navarra,649946,,,ES22
Comunitat Valenciana,4974969,,,ES52
Cornwall and Isles of Scilly,568612,,,UKK3
Corse,342256,,,FRM0
Cumbria,498083,,,UKD1
Darmstadt,3998724,,,DE71
Dél-Alföld,1237101,,,HU33
Dél-Dunántúl,879596,,,HU23
Derbyshire and Nottinghamshire,2210381,,,UKF1
Detmold,2055310,,,DEA4
Devon,1195198,,,UKK4
Dolnośląskie,2865072,,,PL51
Dorset and Somerset,1336003,,,UKK2
Drenthe,492167,,,NL11
Dresden,1598199,,,DED2
Düsseldorf,5202321,,,DEA1
East Anglia,2521676,,,UKH1
East Wales,1168000,,,UKL1
East Yorkshire and Northern Lincolnshire,932645,,,UKE1
Eastern and Midland,2411912,,,IE04
Eastern Scotland,1998699,,,UKM7
Eesti,1330068,,,EE00
Emilia-Romagna,4459453,,,ITH5
"Erzurum, Erzincan, Bayburt",1086156,,,TRA1
Espace Mittelland,1877154,,,CH02
Essex,1841887,,,UKH3
Észak-Alföld,1450960,,,HU32
