NAME_1,Population,Color,Inset
Adygey,100,#e74c3c,A
Altay,100,#e74c3c,A
Amur,100,#e74c3c,A
Arkhangel'sk,100,#e74c3c,A
Astrakhan',100,#e74c3c,A
Bashkortostan,100,#e74c3c,A
Belgorod,100,#e74c3c,A
Bryansk,100,#e74c3c,A
Buryat,100,#e74c3c,A
Chechnya,100,#e74c3c,A
Chelyabinsk,100,#e74c3c,A
Chukot,100,#e74c3c,A
Chuvash,100,#e74c3c,A
City of St. Petersburg,100,#e74c3c,A
Dagestan,100,#e74c3c,A
Gorno-Altay,100,#e74c3c,A
Ingush,100,#e74c3c,A
Irkutsk,100,#e74c3c,A
Ivanovo,100,#e74c3c,A
Kabardin-Balkar,100,#e74c3c,A
Kaliningrad,100,#e74c3c,A
Kalmyk,100,#e74c3c,A
Kaluga,100,#e74c3c,A
Kamchatka,100,#e74c3c,A
Karachay-Cherkess,100,#e74c3c,A
Karelia,100,#e74c3c,A
Kemerovo,100,#e74c3c,A
Khabarovsk,100,#e74c3c,A
Khakass,100,#e74c3c,A
Khanty-Mansiy,100,#e74c3c,A
Kirov,100,#e74c3c,A
Komi,100,#e74c3c,A
Kostroma,100,#e74c3c,A
Krasnodar,100,#e74c3c,A
Krasnoyarsk,100,#e74c3c,A
Kurgan,100,#e74c3c,A
Kursk,100,#e74c3c,A
Leningrad,100,#e74c3c,A
Lipetsk,100,#e74c3c,A
Maga Buryatdan,100,#e74c3c,A
Mariy-El,100,#e74c3c,A
Mordovia,100,#e74c3c,A
Moscow City,100,#e74c3c,A
Moskva,100,#e74c3c,A
Murmansk,100,#e74c3c,A
Nenets,100,#e74c3c,A
Nizhegorod,100,#e74c3c,A
North Ossetia,100,#e74c3c,A
Novgorod,100,#e74c3c,A
Novosibirsk,100,#e74c3c,A
Omsk,100,#e74c3c,A
Orel,100,#e74c3c,A
Orenburg,100,#e74c3c,B
Penza,100,#e74c3c,B
Perm',100,#e74c3c,B
Primor'ye,100,#e74c3c,B
Pskov,100,#e74c3c,B
Rostov,100,#e74c3c,B
Ryazan',100,#e74c3c,B
Sakha,100,#e74c3c,B
Sakhalin,100,#e74c3c,B
Samara,100,#e74c3c,B
Saratov,100,#e74c3c,B
Smolensk,100,#e74c3c,B
Stavropol',100,#e74c3c,B
Sverdlovsk,100,#e74c3c,B
Tambov,100,#e74c3c,B
Tatarstan,100,#e74c3c,B
Tomsk,100,#e74c3c,B
Tula,100,#e74c3c,B
Tuva,100,#e74c3c,B
Tver',100,#e74c3c,B
Tyumen',100,#e74c3c,B
Udmurt,100,#e74c3c,B
Ul'yanovsk,100,#e74c3c,B
Vladimir,100,#e74c3c,B
Volgograd,100,#e74c3c,B
Vologda,100,#e74c3c,B
Voronezh,100,#e74c3c,B
Yamal-Nenets,100,#e74c3c,B
Yaroslavl',100,#e74c3c,B
Yevrey,100,#e74c3c,B
Zabaykal'ye,100,#e74c3c,B
