NAME_1,Population
Aichi,7416336
Akita,1074858
Aomori,1362820
Chiba,6214148
Ehime,1423406
Fukui,802906
Fukuoka,5079291
Fukushima,1989834
Gifu,2070908
Gunma,2000514
Hiroshima,2855045
Hokkaido,5485952
Hyogo,5581968
Ibaraki,2957706
Ishikawa,1166309
Iwate,1314076
Kagawa,991947
Kagoshima,1698695
Kanagawa,9058094
Kochi,758469
Kumamoto,1812575
Kyoto,2631671
Mie,1847223
Miyagi,2326735
Miyazaki,1130983
Nagano,2142167
Nagasaki,1417423
Nara,1395845
Niigata,2362158
Oita,1191430
Okayama,1940559
Okinawa,1401066
Osaka,8861012
Saga,846787
Saitama,7207139
Shiga,1413513
Shimane,712292
Shizuoka,3749274
Tochigi,2000010
Tokushima,780236
Tokyo,13195974
Tottori,585494
Toyama,1087745
Wakayama,995010
Yamagata,1161214
Yamaguchi,1442428
Yamanashi,857459
