NAME,Cartogram Data (eg. Population),Color,Inset,Label
Aichi Prefecture,7416336,,,
Akita,1074858,,,
Aomori,1362820,,,
Chiba,6214148,,,
Ehime Prefecture,1423406,,,
Fukui Prefecture,802906,,,
Fukuoka Prefecture,5079291,,,
Fukushima,1989834,,,
Gifu Prefecture,2070908,,,
Gunma,2000514,,,
Hiroshima,2855045,,,
Hokkaido,5485952,,,
Hyogo Prefecture,5581968,,,
Ibaraki,2957706,,,
Ishikawa Prefecture,1166309,,,
Iwate,1314076,,,
Kagawa Prefecture,991947,,,
Kagoshima Prefecture,1698695,,,
Kanagawa,9058094,,,
Kochi Prefecture,758469,,,
Kumamoto,1812575,,,
Kyoto Prefecture,2631671,,,
Mie Prefecture,1847223,,,
Miyagi,2326735,,,
Miyazaki Prefecture,1130983,,,
Nagano,2142167,,,
Nagasaki Prefecture,1417423,,,
Nara Prefecture,1395845,,,
Niigata,2362158,,,
Oita,1191430,,,
Okayama Prefecture,1940559,,,
Okinawa Prefecture,1401066,,,
Osaka Prefecture,8861012,,,
Saga Prefecture,846787,,,
Saitama,7207139,,,
Shiga,1413513,,,
Shimane,712292,,,
Shizuoka,3749274,,,
Tochigi,2000010,,,
Tokushima Prefecture,780236,,,
Tokyo,13195974,,,
Tottori Prefecture,585494,,,
Toyama,1087745,,,
Wakayama Prefecture,995010,,,
Yamagata,1161214,,,
Yamaguchi,1442428,,,
Yamanashi,857459,,,
