shapeName,Population (people),Color,Inset,Label
Ain,652432,,,
Aisne,531345,,,
Allier,335975,,,
Alpes-de-Haute-Provence,164308,,,
Ardèche,328278,,,
Ardennes,270582,,,
Ariège,153287,,,
Aube,310242,,,
Aude,374070,,,
Aveyron,279595,,,
Bas-Rhin,1140057,,,
Bouches-du-Rhône,2043110,,,
Côte-d'Or,534124,,,
Côtes-d'Armor,600582,,,
Calvados,694905,,,
Cantal,144692,,,
Charente,352015,,,
Charente-Maritime,651358,,,
Cher,302306,,,
Corrèze,240073,,,
Creuse,116617,,,
Deux-Sèvres,374878,,,
Dordogne,413223,,,
Doubs,543974,,,
Drôme,516762,,,
Essonne,1301659,,,
Eure,599507,,,
Eure-et-Loir,431575,,,
Finistère,915090,,,
Gard,748437,,,
Gers,191377,,,
Gironde,1623749,,,
Hérault,1175623,,,
Haute-Corse,181933,,,
Haute-Garonne,1400039,,,
Haute-Loire,227570,,,
Haute-Marne,172512,,,
Haute-Saône,235313,,,
Hautes-Alpes,141220,,,
Haute-Savoie,826094,,,
Hautes-Pyrénées,229567,,,
Haute-Vienne,372359,,,
Haut-Rhin,767086,,,
Hauts-de-Seine,1624357,,,
Ille-et-Vilaine,1079498,,,
Indre,219316,,,
Indre-et-Loire,610079,,,
Isère,1271166,,,
Jura,259199,,,
Landes,413690,,,
Loire,765634,,,
Loire-Atlantique,1429272,,,
Loiret,680434,,,
Loir-et-Cher,329470,,,
Lot,174094,,,
Lot-et-Garonne,331271,,,
Lozère,76604,,,
Métropole de Lyon,1411571,,,
Maine-et-Loire,818273,,,
Manche,495045,,,
Maritime Alps,1094283,,,
Marne,566855,,,
Mayenne,307062,,,
Meurthe-et-Moselle,733760,,,
Meuse,184083,,,
Morbihan,759684,,,
Moselle,1046543,,,
Nièvre,204452,,,
Nord,2608346,,,
Oise,829419,,,
Orne,279942,,,
Paris,2165423,,,
Pas-de-Calais,1465278,,,
Puy-de-Dôme,662152,,,
Pyrénées-Atlantiques,682621,,,
Pyrénées-Orientales,479979,,,
Rhône,464176,,,
Saône-et-Loire,551493,,,
Sarthe,566412,,,
Savoie,436434,,,
Seine-et-Marne,1421197,,,
Seine-Maritime,1255633,,,
Seine-Saint-Denis,1644903,,,
Somme,570559,,,
South Corsica,158507,,,
Tarn,389844,,,
Tarn-et-Garonne,260669,,,
Territoire-de-Belfort,141318,,,
Val-de-Marne,1407124,,,
Val-d'Oise,1249674,,,
Var,1076711,,,
Vaucluse,561469,,,
Vendée,685442,,,
Vienne,438435,,,
Vosges,364499,,,
Yonne,335707,,,
Yvelines,1448207,,,
