NAME,Cartogram Data (eg. Population),Color,Inset,Label
Aitkin,15697,,,
Anoka,363887,,,
Becker,35183,,,
Beltrami,46228,,,
Benton,41379,,,
Big Stone,5166,,,
Blue Earth,69112,,,
Brown,25912,,,
Carlton,36207,,,
Carver,106922,,,
Cass,30066,,,
Chippewa,12598,,,
Chisago,56621,,,
Clay,65318,,,
Clearwater,8524,,,
Cook,5600,,,
Cottonwood,11517,,,
Crow Wing,66123,,,
Dakota,439882,,,
Dodge,20867,,,
Douglas,39006,,,
Faribault,13921,,,
Fillmore,21228,,,
Freeborn,30895,,,
Goodhue,47582,,,
Grant,6074,,,
Hennepin,1281565,,,
Houston,18843,,,
Hubbard,21344,,,
Isanti,41135,,,
Itasca,45014,,,
Jackson,9989,,,
Kanabec,16032,,,
Kandiyohi,43732,,,
Kittson,4207,,,
Koochiching,12062,,,
Lac qui Parle,6719,,,
Lake,10905,,,
Lake of the Woods,3763,,,
Le Sueur,28674,,,
Lincoln,5640,,,
Lyon,25269,,,
Mahnomen,36771,,,
Marshall,5411,,,
Martin,9040,,,
McLeod,20025,,,
Meeker,23400,,,
Mille Lacs,26459,,,
Morrison,34010,,,
Mower,40029,,,
Murray,8179,,,
Nicollet,34454,,,
Nobles,22290,,,
Norman,6441,,,
Olmsted,162847,,,
Otter Tail,60081,,,
Pennington,13992,,,
Pine,28876,,,
Pipestone,9424,,,
Polk,31192,,,
Pope,11308,,,
Ramsey,552352,,,
Red Lake,3935,,,
Redwood,15425,,,
Renville,14723,,,
Rice,67097,,,
Rock,9704,,,
Roseau,15331,,,
Scott,200231,,,
Sherburne,150928,,,
Sibley,97183,,,
St. Louis,14836,,,
Stearns,158292,,,
Steele,37406,,,
Stevens,9671,,,
Swift,9838,,,
Todd,25262,,,
Traverse,3360,,,
Wabasha,21387,,,
Wadena,14065,,,
Waseca,18968,,,
Washington,267568,,,
Watonwan,11253,,,
Wilkin,6506,,,
Winona,49671,,,
Wright,141337,,,
Yellow Medicine,9528,,,
