NAME_1,Population,Color
Adygey,100,#e74c3c
Altay,100,#e74c3c
Amur,100,#e74c3c
Arkhangel'sk,100,#e74c3c
Astrakhan',100,#e74c3c
Bashkortostan,100,#e74c3c
Belgorod,100,#e74c3c
Bryansk,100,#e74c3c
Buryat,100,#e74c3c
Chechnya,100,#e74c3c
Chelyabinsk,100,#e74c3c
Chukot,100,#e74c3c
Chuvash,100,#e74c3c
City of St. Petersburg,100,#e74c3c
Dagestan,100,#e74c3c
Gorno-Altay,100,#e74c3c
Ingush,100,#e74c3c
Irkutsk,100,#e74c3c
Ivanovo,100,#e74c3c
Kabardin-Balkar,100,#e74c3c
Kaliningrad,100,#e74c3c
Kalmyk,100,#e74c3c
Kaluga,100,#e74c3c
Kamchatka,100,#e74c3c
Karachay-Cherkess,100,#e74c3c
Karelia,100,#e74c3c
Kemerovo,100,#e74c3c
Khabarovsk,100,#e74c3c
Khakass,100,#e74c3c
Khanty-Mansiy,100,#e74c3c
Kirov,100,#e74c3c
Komi,100,#e74c3c
Kostroma,100,#e74c3c
Krasnodar,100,#e74c3c
Krasnoyarsk,100,#e74c3c
Kurgan,100,#e74c3c
Kursk,100,#e74c3c
Leningrad,100,#e74c3c
Lipetsk,100,#e74c3c
Maga Buryatdan,100,#e74c3c
Mariy-El,100,#e74c3c
Mordovia,100,#e74c3c
Moscow City,100,#e74c3c
Moskva,100,#e74c3c
Murmansk,100,#e74c3c
Nenets,100,#e74c3c
Nizhegorod,100,#e74c3c
North Ossetia,100,#e74c3c
Novgorod,100,#e74c3c
Novosibirsk,100,#e74c3c
Omsk,100,#e74c3c
Orel,100,#e74c3c
Orenburg,100,#e74c3c
Penza,100,#e74c3c
Perm',100,#e74c3c
Primor'ye,100,#e74c3c
Pskov,100,#e74c3c
Rostov,100,#e74c3c
Ryazan',100,#e74c3c
Sakha,100,#e74c3c
Sakhalin,100,#e74c3c
Samara,100,#e74c3c
Saratov,100,#e74c3c
Smolensk,100,#e74c3c
Stavropol',100,#e74c3c
Sverdlovsk,100,#e74c3c
Tambov,100,#e74c3c
Tatarstan,100,#e74c3c
Tomsk,100,#e74c3c
Tula,100,#e74c3c
Tuva,100,#e74c3c
Tver',100,#e74c3c
Tyumen',100,#e74c3c
Udmurt,100,#e74c3c
Ul'yanovsk,100,#e74c3c
Vladimir,100,#e74c3c
Volgograd,100,#e74c3c
Vologda,100,#e74c3c
Voronezh,100,#e74c3c
Yamal-Nenets,100,#e74c3c
Yaroslavl',100,#e74c3c
Yevrey,100,#e74c3c
Zabaykal'ye,100,#e74c3c
