NAME_1,Population (people),Color,Inset,Label
Adygey,439996,,,AD
Altay,2419755,,,AL
Amur,830103,,,AM
Arkhangel'sk,1227626,,,AR
Astrakhan',1010073,,,AS
Bashkortostan,4072292,,,BK
Belgorod,1532526,,,BL
Bryansk,1278217,,,BR
Buryat,972021,,,BU
Chechnya,1268989,,,CN
Chelyabinsk,3476217,,,CL
Chukot,50526,,,CK
Chuvash,1251619,,,CV
City of St. Petersburg,4879566,,,SP
Dagestan,2910249,,,DA
Gorno-Altay,206168,,,GA
Ingush,412529,,,IN
Irkutsk,2428750,,,IK
Ivanovo,1061651,,,IV
Kabardin-Balkar,859939,,,KB
Kaliningrad,941873,,,KN
Kalmyk,289481,,,KL
Kaluga,1010930,,,KG
Kamchatka,322079,,,KQ
Karachay-Cherkess,477859,,,KC
Karelia,643548,,,KI
Kemerovo,2763135,,,KE
Khabarovsk,1343869,,,KH
Khakass,532403,,,KK
Khanty-Mansiy,1272468,,,KM
Kirov,1341312,,,KV
Komi,901189,,,KO
Kostroma,667562,,,KT
Krasnodar,5226647,,,KD
Krasnoyarsk,2828187,,,KX
Kurgan,910807,,,KU
Kursk,1127081,,,KS
Leningrad,1716868,,,LN
Lipetsk,1173513,,,LP
Magadan,156996,,,MG
Mariy-El,696459,,,ME
Mordovia,834755,,,MR
Moscow City,11503501,,,MSK
Moskva,7095120,,,MS
Murmansk,795409,,,MM
Nenets,42090,,,NN
Nizhegorod,3310597,,,NZ
North Ossetia,712980,,,NO
Novgorod,634111,,,NG
Novosibirsk,2665911,,,NS
Omsk,1977665,,,OM
Orel,786935,,,OL
Orenburg,2033072,,,OB
Penza,1386186,,,PZ
Perm',2635276,,,PE
Primor'ye,1956497,,,PR
Pskov,673423,,,PS
Rostov,4277976,,,RO
Ryazan',1154114,,,RZ
Sakha,958528,,,SK
Sakhalin,497973,,,SL
Samara,3215532,,,SA
Saratov,2521892,,,SR
Smolensk,985537,,,SM
Stavropol',2786281,,,ST
Sverdlovsk,4297747,,,SV
Tambov,1091994,,,TB
Tatarstan,3786488,,,TT
Tomsk,1047394,,,TO
Tula,1553925,,,TL
Tuva,307930,,,TU
Tver',1353392,,,TV
Tyumen',1537416,,,TY
Udmurt,1521420,,,UD
Ul'yanovsk,1292799,,,UL
Vladimir,1443693,,,VL
Volgograd,2610161,,,VG
Vologda,1202444,,,VO
Voronezh,2335380,,,VR
Yamal-Nenets,522904,,,YN
Yaroslavl',1272468,,,YS
Yevrey,176558,,,YV
Zabaykal'ye,1107107,,,ZB
