VARNAME_1,Population
Ha Noi,8053663
Ha Giang,854679
Cao Bang,530341
Bac Kan,313905
Tuyen Quang,784811
Lao Cai,730420
Dien Bien,598856
Lai Chau,460196
Son La,1248415
Yen Bai,821030
Hoa Binh,854131
Thai Nguyen,1286751
Lang Son,781655
Quang Ninh,1320324
Bac Giang,1803950
Phu Tho,1463726
Vinh Phuc,1151154
Bac Ninh,1368840
Hai Duong,1892254
Hai Phong,2028514
Hung Yen,1252731
Thai Binh,1860447
Ha Nam,852800
Nam Dinh,1780393
Ninh Binh,982487
Thanh Hoa,3640128
Nghe An,3327791
Ha Tinh,1288866
Quang Binh,895430
Quang Tri,632375
Thua Thien Hue,1128620
Da Nang,1134310
Quang Nam,1495812
Quang Ngai,1231697
Binh Dinh,1486918
Phu Yen,872964
Khanh Hoa,1231107
Ninh Thuan,590467
Binh Thuan,1230808
Kon Tum,540438
Gia Lai,1513847
Dak Lak,1869322
Dak Nong,622168
Lam Dong,1296906
Binh Phuoc,994679
Tay Ninh,1169165
Binh Duong,2426561
Dong Nai,3097107
Ba Ria - Vung Tau,1148313
Ho Chi Minh,8993082
Long An,1688547
Tien Giang,1764185
Ben Tre,1288463
Tra Vinh,1009168
Vinh Long,1022791
Dong Thap,1599504
An Giang,1908352
Kien Giang,1723067
Can Tho,1235171
Hau Giang,17
Soc Trang,653
Bac Lieu,236
Ca Mau,476
