name,Region Data
Afghanistan,20682000000
Albania,17210000000
Algeria,1.93E+11
Angola,96426000000
Antarctica,NA
Argentina,5.15E+11
Armenia,13868000000
Australia,1.48E+12
Austria,4.82E+11
Azerbaijan,47429000000
Bahamas,13710000000
Bangladesh,3.43E+11
Belarus,63664000000
Belgium,5.54E+11
Belize,2071000000
Benin,12129000000
Bhutan,2939000000
Bolivia,47052000000
Bosnia and Herz.,NA
Botswana,20873000000
Brazil,2.06E+12
Brunei,14281000000
Bulgaria,71746000000
Burkina Faso,16266000000
Burundi,3714000000
Côte d'Ivoire,49882000000
Cambodia,29309000000
Cameroon,42047000000
Canada,1.83E+12
Central African Rep.,2485000000
Chad,12547000000
Chile,3.14E+11
China,1.55E+13
Colombia,3.53E+11
Congo,11367000000
Costa Rica,63460000000
Croatia,64590000000
Cuba,89688700000
Cyprus,26348000000
Czech Rep.,2.60E+11
Dem. Rep. Congo,52475000000
Dem. Rep. Korea,16788601831
Denmark,3.65E+11
Djibouti,2599000000
Dominican Rep.,90459000000
Ecuador,1.08E+11
Egypt,3.31E+11
El Salvador,28202000000
Eq. Guinea,12263000000
Eritrea,8116000000
Estonia,33235000000
Ethiopia,99371000000
Falkland Is.,NA
Fiji,5671000000
Finland,2.89E+11
Fr. S. Antarctic Lands,NA
France,2.88E+12
Gabon,17893000000
Gambia,1870000000
Georgia,18888000000
Germany,4.16E+12
Ghana,72264000000
Greece,2.31E+11
Greenland,2282927882
Guatemala,87629000000
Guinea,13603000000
Guinea-Bissau,1669000000
Guyana,4609000000
Haiti,9648000000
Honduras,25560000000
Hungary,1.78E+11
Iceland,26821000000
India,3.26E+12
Indonesia,1.21E+12
Iran,4.96E+11
Iraq,2.47E+11
Ireland,4.05E+11
Israel,4.04E+11
Italy,2.09E+12
Jamaica,16717000000
Japan,5.50E+12
Jordan,46451000000
Kazakhstan,1.77E+11
Kenya,1.09E+11
Korea,1.74E+12
Kosovo,NA
Kuwait,1.43E+11
Kyrgyzstan,8781000000
Lao PDR,22013000000
Latvia,38102000000
Lebanon,60620000000
Lesotho,2892000000
Liberia,3217000000
Libya,50424000000
Lithuania,57602000000
Luxembourg,73693000000
Macedonia,13700000000
Madagascar,13542000000
Malawi,7861000000
Malaysia,4.02E+11
Mali,19332000000
Mauritania,5697000000
Mexico,1.30E+12
Moldova,12793000000
Mongolia,14960000000
Montenegro,5740000000
Morocco,1.29E+11
Mozambique,16294000000
Myanmar,71403000000
N. Cyprus,NA
Namibia,14627000000
Nepal,33035000000
Netherlands,9.55E+11
New Caledonia,9445714851
New Zealand,2.25E+11
Nicaragua,12459000000
Niger,10628000000
Nigeria,4.96E+11
Norway,4.39E+11
Oman,84158000000
Pakistan,2.83E+11
Palestine,13397100000
Panama,75494000000
Papua New Guinea,22114000000
Paraguay,45376000000
Peru,2.44E+11
Philippines,3.89E+11
Poland,6.43E+11
Portugal,2.50E+11
Puerto Rico,1.04E+11
Qatar,2.04E+11
Romania,2.63E+11
Russia,1.67E+12
Rwanda,11062000000
S. Sudan,2796000000
Saudi Arabia,7.90E+11
Senegal,28062000000
Serbia,56886000000
Sierra Leone,4221000000
Slovakia,1.17E+11
Slovenia,58213000000
Solomon Is.,1607000000
Somalia,8341000000
Somaliland,NA
South Africa,3.87E+11
Spain,1.50E+12
Sri Lanka,89942000000
Sudan,82887395895
Suriname,3919000000
Swaziland,NA
Sweden,5.77E+11
Switzerland,7.41E+11
Syria,22163075121
Taiwan,6.34E+11
Tajikistan,7838000000
Tanzania,64888000000
Thailand,5.47E+11
Timor-Leste,3413000000
Togo,6132000000
Trinidad and Tobago,23235000000
Tunisia,35150000000
Turkey,8.10E+11
Turkmenistan,57059000000
Uganda,33620000000
Ukraine,1.47E+11
United Arab Emirates,4.49E+11
United Kingdom,2.93E+12
United States,2.22E+13
Uruguay,63421000000
Uzbekistan,55482000000
Vanuatu,994000000
Venezuela,70106000000
Vietnam,2.82E+11
W. Sahara,NA
Yemen,31385000000
Zambia,25272000000
Zimbabwe,25812000000
