name_1,GDP
Afghanistan,20682000000
Aland,NA
Albania,17210000000
Algeria,1.93E+11
American Samoa,NA
Andorra,2858406626
Angola,96426000000
Anguilla,337520470
Antarctica,NA
Antigua and Barb.,NA
Argentina,5.15E+11
Armenia,13868000000
Aruba,2952000000
Australia,1.48E+12
Austria,4.82E+11
Azerbaijan,47429000000
Bahamas,13710000000
Bahrain,40707000000
Bangladesh,3.43E+11
Barbados,5339000000
Belarus,63664000000
Belgium,5.54E+11
Belize,2071000000
Benin,12129000000
Bermuda,6127341000
Bhutan,2939000000
Bolivia,47052000000
Bosnia and Herz.,NA
Botswana,20873000000
Br. Indian Ocean Ter.,NA
Brazil,2.06E+12
British Virgin Is.,971237110
Brunei,14281000000
Bulgaria,71746000000
Burkina Faso,16266000000
Burundi,3714000000
Cabo Verde,2208000000
Cambodia,29309000000
Cameroon,42047000000
Canada,1.83E+12
Cayman Is.,3844080626
Central African Rep.,2485000000
Chad,12547000000
Chile,3.14E+11
China,1.55E+13
Colombia,3.53E+11
Comoros,773000000
Congo,11367000000
Cook Is.,290194195
Costa Rica,63460000000
Cote d'Ivoire,49882000000
Croatia,64590000000
Cuba,89688700000
Curacao,3121449966
Cyprus,26348000000
Czechia,2.60E+11
Dem. Rep. Congo,52475000000
Denmark,3.65E+11
Djibouti,2599000000
Dominica,590000000
Dominican Rep.,90459000000
Ecuador,1.08E+11
Egypt,3.31E+11
El Salvador,28202000000
Eq. Guinea,12263000000
Eritrea,8116000000
Estonia,33235000000
eSwatini,NA
Ethiopia,99371000000
Faeroe Is.,NA
Falkland Is.,NA
Fiji,5671000000
Finland,2.89E+11
Fr. Polynesia,5417934152
Fr. S. Antarctic Lands,NA
France,2.88E+12
Gabon,17893000000
Gambia,1870000000
Georgia,18888000000
Germany,4.16E+12
Ghana,72264000000
Gibraltar,NA
Greece,2.31E+11
Greenland,2282927882
Grenada,1330000000
Guam,NA
Guatemala,87629000000
Guernsey,NA
Guinea,13603000000
Guinea-Bissau,1669000000
Guyana,4609000000
Haiti,9648000000
Heard I. and McDonald Is.,NA
Honduras,25560000000
Hong Kong,4.02E+11
Hungary,1.78E+11
Iceland,26821000000
India,3.26E+12
Indonesia,1.21E+12
Iran,4.96E+11
Iraq,2.47E+11
Ireland,4.05E+11
Isle of Man,NA
Israel,4.04E+11
Italy,2.09E+12
Jamaica,16717000000
Japan,5.50E+12
Jersey,NA
Jordan,46451000000
Kazakhstan,1.77E+11
Kenya,1.09E+11
Kiribati,196000000
Kosovo,NA
Kuwait,1.43E+11
Kyrgyzstan,8781000000
Laos,22013000000
Latvia,38102000000
Lebanon,60620000000
Lesotho,2892000000
Liberia,3217000000
Libya,50424000000
Liechtenstein,6193677543
Lithuania,57602000000
Luxembourg,73693000000
Macao,62158000000
Macedonia,13700000000
Madagascar,13542000000
Malawi,7861000000
Malaysia,4.02E+11
Maldives,6213000000
Mali,19332000000
Malta,16338000000
Marshall Is.,228000000
Mauritania,5697000000
Mauritius,15757000000
Mexico,1.30E+12
Micronesia,389000000
Moldova,12793000000
Monaco,6468000877
Mongolia,14960000000
Montenegro,5740000000
Montserrat,62051375
Morocco,1.29E+11
Mozambique,16294000000
Myanmar,71403000000
N. Cyprus,NA
N. Mariana Is.,NA
Namibia,14627000000
Nauru,117000000
Nepal,33035000000
Netherlands,9.55E+11
New Caledonia,9445714851
New Zealand,2.25E+11
Nicaragua,12459000000
Niger,10628000000
Nigeria,4.96E+11
Niue,NA
Norfolk Island,NA
North Korea,16788601831
Norway,4.39E+11
Oman,84158000000
Pakistan,2.83E+11
Palau,324000000
Palestine,13397100000
Panama,75494000000
Papua New Guinea,22114000000
Paraguay,45376000000
Peru,2.44E+11
Philippines,3.89E+11
Pitcairn Is.,NA
Poland,6.43E+11
Portugal,2.50E+11
Puerto Rico,1.04E+11
Qatar,2.04E+11
Romania,2.63E+11
Russia,1.67E+12
Rwanda,11062000000
S. Geo. and the Is.,NA
S. Sudan,2796000000
Saint Helena,NA
Saint Lucia,2069000000
Samoa,960000000
San Marino,1672000000
Sao Tome and Principe,527000000
Saudi Arabia,7.90E+11
Senegal,28062000000
Serbia,56886000000
Seychelles,1739000000
Siachen Glacier,NA
Sierra Leone,4221000000
Singapore,3.92E+11
Sint Maarten,1072067039
Slovakia,1.17E+11
Slovenia,58213000000
Solomon Is.,1607000000
Somalia,8341000000
Somaliland,NA
South Africa,3.87E+11
South Korea,1.74E+12
Spain,1.50E+12
Sri Lanka,89942000000
St-Barthelemy,NA
St-Martin,NA
St. Kitts and Nevis,1118000000
St. Pierre and Miquelon,NA
St. Vin. and Gren.,903000000
Sudan,82887395895
Suriname,3919000000
Sweden,5.77E+11
Switzerland,7.41E+11
Syria,22163075121
Taiwan,6.34E+11
Tajikistan,7838000000
Tanzania,64888000000
Thailand,5.47E+11
Timor-Leste,3413000000
Togo,6132000000
Tonga,512000000
Trinidad and Tobago,23235000000
Tunisia,35150000000
Turkey,8.10E+11
Turkmenistan,57059000000
Turks and Caicos Is.,917550492
Tuvalu,NA
U.S. Minor Outlying Is.,NA
U.S. Virgin Is.,NA
Uganda,33620000000
Ukraine,1.47E+11
United Arab Emirates,4.49E+11
United Kingdom,2.93E+12
United States of America,2.22E+13
Uruguay,63421000000
Uzbekistan,55482000000
Vanuatu,994000000
Vatican,NA
Venezuela,70106000000
Vietnam,2.82E+11
W. Sahara,NA
Wallis and Futuna Is.,NA
Yemen,31385000000
Zambia,25272000000
Zimbabwe,25812000000
