shapeName,Population (people),Color,Inset,Label
Ang Mo Kio,174770,,,
Bedok,289750,#ccc90c,,
Bishan,90700,,,
Boon Lay,30,,,
Bukit Batok,139270,,,
Bukit Merah,155840,#de09d3,,
Bukit Panjang,139030,,,
Bukit Timah,74470,,,
Central Water Catchment,10,,,
Changi,2530,#d42011,,
Changi Bay,0,,,
Choa Chu Kang,174330,,,
Clementi,91630,,,
Downtown Core,3720,,,
Geylang,116960,,,
Hougang,222310,,,
Jurong East,84980,,,
Jurong West,272660,#0a0dc4,,
Kallang,101210,,,
Lim Chu Kang,90,,,
Mandai,2120,,,
Marina East,0,,,
Marina South,0,,,
Marine Parade,48730,,,
Museum,380,,,
Newton,6920,,,
North-Eastern Islands,60,,,
Novena,47990,,,
Orchard,920,,,
Outram,22080,,,
Pasir Ris,139890,,,
Paya Lebar,40,,,
Pioneer,100,,,
PuunggolL,109750,,,
Queenstown,98050,,,
River Valley,9190,,,
Rochor,14590,,,
Seletar,270,,,
Sembawang,76530,,,
Sengkang,206680,,,
Serangoon,120670,,,
Simpang,0,,,
Singapore River,2720,,,
Southern Islands,1480,,,
Straits View,0,,,
Sungei Kadut,850,,,
Tampines,261230,,,
Tanglin,19000,,,
Tengah,10,,,
Toa Payoh,124940,,,
Tuas,70,,,
Western Islands,0,,,
Western Water Catchment,900,,,
Woodlands,250290,#08bd14,,
Yishun,201970,,,
