shapeName,Population (people),Color,Inset,Label
Ariana,576088,,,AR
Béja,303032,,,BJ
Ben Arous,631842,,,BA
Bizerte,568219,,,BI
El Kef,243156,,,KF
Gabès,374300,,,GB
Gafsa,337331,,,GF
Jendouba,401477,,,JE
Kébili,156961,,,KB
Kairouan,570559,,,KR
Kasserine,439243,,,KS
Médenine,479520,,,ME
Mahdia,410812,,,MH
Manouba,379518,,,MN
Monastir,548828,,,MO
Nabeul,787920,,,NA
Sfax,955421,,,SF
Sidi Bouzid,429912,,,SD
Siliana,223087,,,SL
Sousse,674971,,,SO
Tataouine,149453,,,TA
Tozeur,107912,,,TO
Tunis,1056247,,,TU
Zaghouan,176945,,,ZA
