ABR,Region Data,Colors,Region Name,Region Abbreviation
CK,3796508950,#e7298a,Cherkasy,CK
CH,2906305620,#d95f02,Chernihiv,CH
CV,1598747380,#1b9e77,Chernivtsi,CV
KR,5408006480,#e7298a,Crimea,KR
DP,17967997100,#7570b3,Dnipropetrovsk,DP
DT,20737208250,#1b9e77,Donetsk,DT
IF,3920488980,#e6ab02,Ivano-Frankivsk,IF
KK,9984338890,#e7298a,Kharkiv,KK
KS,2350520510,#e6ab02,Kherson,KS
KM,3185958910,#7570b3,Khmelnytskyi,KM
KV,8459178090,#7570b3,Kiev,KV
KC,33476429550,#66a61e,Kiev City,KC
KH,2678260080,#7570b3,Kirovohrad,KH
LV,7524045660,#7570b3,Lviv,LV
LH,7136076810,#d95f02,Luhansk,LH
MY,3546363150,#e7298a,Mykolayiv,MY
OD,7861742490,#d95f02,Odessa,OD
PL,6870509400,#1b9e77,Poltava,PL
RV,2646566850,#1b9e77,Rivne,RV
SC,1201064130,#e7298a,Sevastopol,SC
SM,3027614190,#e6ab02,Sumy,SM
TP,2180518510,#66a61e,Ternopil,TP
ZK,2599087720,#66a61e,Transcarpathia,ZK
VI,4010104320,#e6ab02,Vinnytsya,VI
VO,2429207150,#e6ab02,Volyn,VO
ZP,6657764040,#1b9e77,Zaporizhzhya,ZP
ZT,3017414070,#66a61e,Zhytomyr,ZT
