shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Alabama,4949697,,,
Alaska,720763,,,
American Samoa,54949,,,
Arizona,7640796,,,
Arkansas,3042017,,,
California,39664128,,,
Colorado,5961083,,,
Commonwealth of the Northern Mariana Islands,58240,,,
Connecticut,3546588,,,
Delaware,998619,,,
District of Columbia,718355,,,
Florida,22177997,,,
Georgia,10936299,,,
Guam,171713,,,
Hawaii,1401709,,,
Idaho,1896652,,,
Illinois,12518071,,,
Indiana,6842385,,,
Iowa,3174426,,,
Kansas,2919179,,,
Kentucky,4487233,,,
Louisiana,4616106,,,
Maine,1359677,,,
Maryland,6075314,,,
Massachusetts,6922107,,,
Michigan,9995212,,,
Minnesota,5739781,,,
Mississippi,2961536,,,
Missouri,6184843,,,
Montana,1093117,,,
Nebraska,1960790,,,
Nevada,3238601,,,
New Hampshire,1378449,,,
New Jersey,8870685,,,
New Mexico,2109093,,,
New York,19223191,,,
North Carolina,10807491,,,
North Dakota,774008,,,
Ohio,11727377,,,
Oklahoma,4007179,,,
Oregon,4325290,,,
Pennsylvania,12805190,,,
Puerto Rico,3194714,,,
Rhode Island,1062583,,,
South Carolina,5342388,,,
South Dakota,902542,,,
Tennessee,7001803,,,
Texas,30097526,,,
United States Virgin Islands,103970,,,
Utah,3363182,,,
Vermont,622882,,,
Virginia,8638218,,,
Washington,7887965,,,
West Virginia,1755715,,,
Wisconsin,5867518,,,
Wyoming,582233,,,
