Region,Electoral Votes (votes),Inset,Color,Label
Alabama,9,,#ec8e8f, AL
Alaska,3,L,#ec8e8f, AK
Arizona,11,,#ec8e8f, AZ
Arkansas,6,,#ec8e8f, AR
California,54,,#83b3d2, CA
Colorado,10,,#83b3d2, CO
Connecticut,7,,#83b3d2, CT
Delaware,3,,#83b3d2, DE
District of Columbia,3,,#83b3d2, DC
Florida,30,,#ec8e8f, FL
Georgia,16,,#ec8e8f, GA
Hawaii,4,L,#83b3d2, HI
Idaho,4,,#ec8e8f, ID
Illinois,19,,#83b3d2, IL
Indiana,11,,#ec8e8f, IN
Iowa,6,,#ec8e8f, IA
Kansas,6,,#ec8e8f, KS
Kentucky,8,,#ec8e8f, KY
Louisiana,8,,#ec8e8f, LA
Maine,4,,#83b3d2, ME
Maryland,10,,#83b3d2, MD
Massachusetts,11,,#83b3d2, MA
Michigan,15,,#ec8e8f, MI
Minnesota,10,,#83b3d2, MN
Mississippi,6,,#ec8e8f, MS
Missouri,10,,#ec8e8f, MO
Montana,4,,#ec8e8f, MT
Nebraska,5,,#ec8e8f, NE
Nevada,6,,#ec8e8f, NV
New Hampshire,4,,#83b3d2, NH
New Jersey,14,,#83b3d2, NJ
New Mexico,5,,#83b3d2, NM
New York,28,,#83b3d2, NY
North Carolina,16,,#ec8e8f, NC
North Dakota,3,,#ec8e8f, ND
Ohio,17,,#ec8e8f, OH
Oklahoma,7,,#ec8e8f, OK
Oregon,8,,#83b3d2, OR
Pennsylvania,19,,#ec8e8f, PA
Rhode Island,4,,#83b3d2, RI
South Carolina,9,,#ec8e8f, SC
South Dakota,3,,#ec8e8f, SD
Tennessee,11,,#ec8e8f, TN
Texas,40,,#ec8e8f, TX
Utah,6,,#ec8e8f, UT
Vermont,3,,#83b3d2, VT
Virginia,13,,#83b3d2, VA
Washington,12,,#83b3d2, WA
West Virginia,4,,#ec8e8f, WV
Wisconsin,10,,#ec8e8f, WI
Wyoming,3,,#ec8e8f, WY
