shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Alabama,4949697,,C,
Alaska,720763,,L,
Arizona,7640796,,C,
Arkansas,3042017,,C,
California,39664128,,C,
Colorado,5961083,,C,
Connecticut,3546588,,C,
Delaware,998619,,C,
District of Columbia,718355,,C,
Florida,22177997,,C,
Georgia,10936299,,C,
Hawaii,1401709,,B,
Idaho,1896652,,C,
Illinois,12518071,,C,
Indiana,6842385,,C,
Iowa,3174426,,C,
Kansas,2919179,,C,
Kentucky,4487233,,C,
Louisiana,4616106,,C,
Maine,1359677,,C,
Maryland,6075314,,C,
Massachusetts,6922107,,C,
Michigan,9995212,,C,
Minnesota,5739781,,C,
Mississippi,2961536,,C,
Missouri,6184843,,C,
Montana,1093117,,C,
Nebraska,1960790,,C,
Nevada,3238601,,C,
New Hampshire,1378449,,C,
New Jersey,8870685,,C,
New Mexico,2109093,,C,
New York,19223191,,C,
North Carolina,10807491,,C,
North Dakota,774008,,C,
Ohio,11727377,,C,
Oklahoma,4007179,,C,
Oregon,4325290,,C,
Pennsylvania,12805190,,C,
Rhode Island,1062583,,C,
South Carolina,5342388,,C,
South Dakota,902542,,C,
Tennessee,7001803,,C,
Texas,30097526,,C,
Utah,3363182,,C,
Vermont,622882,,C,
Virginia,8638218,,C,
Washington,7887965,,C,
West Virginia,1755715,,C,
Wisconsin,5867518,,C,
Wyoming,582233,,C,
