NAME_1,Cartogram Data (eg. Population),Color,Inset,Label
An Giang,8053663,,,
Bà Rịa - Vũng Tàu,854679,,,
Bắc Giang,530341,,,
Bắc Kạn,313905,,,
Bạc Liêu,784811,,,
Bắc Ninh,730420,,,
Bến Tre,598856,,,
Bình Định,460196,,,
Bình Dương,1248415,,,
Bình Phước,821030,,,
Bình Thuận,854131,,,
Cà Mau,1286751,,,
Cần Thơ,781655,,,
Cao Bằng,1320324,,,
Đà Nẵng,1463726,,,
Đắk Lắk,1151154,,,
Đắk Nông,1368840,,,
Điện Biên,1892254,,,
Đồng Nai,2028514,,,
Đồng Tháp,1252731,,,
Gia Lai,1860447,,,
Hà Giang,852800,,,
Hà Nam,1780393,,,
Hà Nội,982487,,,
Hà Tĩnh,3640128,,,
Hải Dương,3327791,,,
Hải Phòng,1288866,,,
Hậu Giang,895430,,,
Hồ Chí Minh,632375,,,
Hoà Bình,1128620,,,
Hưng Yên,1134310,,,
Khánh Hòa,1495812,,,
Kiên Giang,1231697,,,
Kon Tum,1486918,,,
Lai Châu,872964,,,
Lâm Đồng,1231107,,,
Lạng Sơn,590467,,,
Lào Cai,1230808,,,
Long An,540438,,,
Nam Định,1513847,,,
Nghệ An,1869322,,,
Ninh Bình,622168,,,
Ninh Thuận,1296906,,,
Phú Thọ,994679,,,
Phú Yên,1169165,,,
Quảng Bình,2426561,,,
Quảng Nam,3097107,,,
Quảng Ngãi,1148313,,,
Quảng Ninh,8993082,,,
Quảng Trị,1688547,,,
Sóc Trăng,1764185,,,
Sơn La,1288463,,,
Tây Ninh,1009168,,,
Thái Bình,1022791,,,
Thái Nguyên,1599504,,,
Thanh Hóa,1908352,,,
Thừa Thiên Huế,1723067,,,
Tiền Giang,1235171,,,
Trà Vinh,733017,,,
Tuyên Quang,1199653,,,
Vĩnh Long,907236,,,
Vĩnh Phúc,1194476,,,
Yên Bái,821030,,,
