VARNAME_1,Population
An Giang,2164200
Ba Ria - Vung Tau,1112900
Bac Giang,1691800
Bac Kan,327900
Bac Lieu,897000
Bac Ninh,1247500
Ben Tre,1268200
Binh Dinh,1534800
Binh Duong,2163600
Binh Phuoc,979600
Binh Thuan,1239200
Ca Mau,1229600
Can Tho,1282300
Cao Bang,540400
Da Nang,1080700
Dak Lak,1919200
Dak Nong,645400
Dien Bien,576700
Dong Nai,3086100
Dong Thap,1693300
Gia Lai,1458500
Ha Giang,846500
Ha Nam,808200
Ha Noi,7520700
Ha Tinh,1277500
Hai Duong,1807500
Hai Phong,2013800
Hau Giang,776700
Ho Chi Minh,8598700
Hoa Binh,846100
Hung Yen,1188900
Khanh Hoa,1232400
Kien Giang,1810500
Kon Tum,535000
Lai Chau,456300
Lam Dong,1312900
Lang Son,790500
Lao Cai,705600
Long An,1503100
Nam Dinh,1854400
Nghe An,3157100
Ninh Binh,973300
Ninh Thuan,611800
Phu Tho,1404200
Phu Yen,909500
Quang Binh,887600
Quang Nam,1501100
Quang Ngai,1272800
Quang Ninh,1266500
Quang Tri,630600
Soc Trang,1315900
Son La,1242700
Tay Ninh,1133400
Thai Binh,1793200
Thai Nguyen,1268300
Thanh Hoa,3558200
Thua Thien Hue,1163600
Tien Giang,1762300
Tra Vinh,1049800
Tuyen Quang,780100
Vinh Long,1051800
Vinh Phuc,1092400
Yen Bai,815600
