county_nam,Cartogram Data (eg. Population),Color,Inset,Label
Adams,20654,,,
Ashland,16027,,,
Barron,46711,,,
Bayfield,16220,,,
Brown,268740,,,
Buffalo,13317,,,
Burnett,16526,,,
Calumet,52442,,,
Chippewa,66297,,,
Clark,34659,,,
Columbia,58490,,,
Crawford,16113,,,
Dane,561504,,,
Dodge,89396,,,
Door,30066,,,
Douglas,44295,,,
Dunn,45440,,,
Eau Claire,105710,,,
Florence,4558,,,
Fond du Lac,104154,,,
Forest,9179,,,
Grant,51938,,,
Green,37093,,,
Green Lake,19018,,,
Iowa,23709,,,
Iron,6137,,,
Jackson,21145,,,
Jefferson,84900,,,
Juneau,26718,,,
Kenosha,169151,,,
Kewaunee,20563,,,
La Crosse,120784,,,
Lafayette,16611,,,
Langlade,19491,,,
Lincoln,28415,,,
Manitowoc,81359,,,
Marathon,138013,,,
Marinette,41872,,,
Marquette,15592,,,
Menominee,4255,,,
Milwaukee,939489,,,
Monroe,46274,,,
Oconto,38965,,,
Oneida,37845,,,
Outagamie,190705,,,
Ozaukee,91503,,,
Pepin,7318,,,
Pierce,42212,,,
Polk,44977,,,
Portage,70377,,,
Price,14054,,,
Racine,197727,,,
Richland,17304,,,
Rock,163687,,,
Rusk,14188,,,
Saint Croix,93536,,,
Sauk,65763,,,
Sawyer,18074,,,
Shawano,40881,,,
Sheboygan,118034,,,
Taylor,19913,,,
Trempealeau,30760,,,
Vernon,30714,,,
Vilas,23047,,,
Walworth,106478,,,
Washburn,16623,,,
Washington,136761,,,
Waukesha,406978,,,
Waupaca,51812,,,
Waushara,24520,,,
Winnebago,171730,,,
Wood,74207,,,
