name_1,pop
Guam,168783
Djibouti,988002
Turkey,84339067
Israel,9216900
Timor-Leste,1318442
Lesotho,2142252
Malta,525285
Lithuania,2794700
Tuvalu,11792
Bolivia,11673029
Romania,19286123
Cabo Verde,555988
Dominican Rep.,10847904
China,1402112000
France,67391582
Azerbaijan,10110116
Turks and Caicos Is.,38718
Cuba,11326616
Mongolia,3278292
Yemen,29825968
Kiribati,119446
Gibraltar,33691
Guyana,786559
El Salvador,6486201
Guinea,13132792
Rwanda,12952209
Isle of Man,85032
Gambia,2416664
Mauritania,4649660
Afghanistan,38928341
Kenya,53771300
U.S. Virgin Is.,106290
Guinea-Bissau,1967998
British Virgin Is.,30237
Algeria,43851043
Cameroon,26545864
Chad,16425859
Russia,144104080
Egypt,102334403
eSwatini,1160164
Japan,125836021
Botswana,2351625
Belarus,9398861
Belgium,11555997
Burundi,11890781
Honduras,9904608
Italy,59554023
St. Kitts and Nevis,53192
Palau,18092
Pakistan,220892331
South Korea,51780579
Tunisia,11818618
Kuwait,4270563
Laos,7275556
Peru,32971846
Iran,83992953
Burkina Faso,20903278
Senegal,16743930
Zimbabwe,14862927
Micronesia,115021
Monaco,39244
New Zealand,5084300
Antigua and Barb.,97928
Chile,19116209
United Arab Emirates,9890400
Hong Kong,7481800
Suriname,586634
Dominica,71991
Saudi Arabia,34813867
Grenada,112519
Papua New Guinea,8947027
Colombia,50882884
Nauru,10834
Palestine,4803269
Brazil,212559409
Kazakhstan,18754440
Philippines,109581085
Liechtenstein,38137
Bulgaria,6927288
Uruguay,3473727
Uzbekistan,34232050
Samoa,198410
Iraq,40222503
Bhutan,771612
Congo,5518092
Hungary,9749763
N. Mariana Is.,57557
Spain,47351567
Bangladesh,164689383
Oman,5106622
Bahrain,1701583
United States of America,329484123
Iceland,366425
United Kingdom,67215293
Central African Rep.,4829764
Nigeria,206139587
Tanzania,59734213
Macedonia,2083380
Ghana,31072945
Indonesia,273523621
Ukraine,44134693
S. Sudan,11193729
Germany,83240525
Sri Lanka,21919000
Sudan,43849269
Montenegro,621718
Czechia,10698896
Fiji,896444
Comoros,869595
Belize,397621
Dem. Rep. Congo,89561404
Croatia,4047200
Poland,37950802
Sao Tome and Principe,219161
Angola,32866268
Vietnam,97338583
Aruba,106766
Curacao,155014
Finland,5530719
Andorra,77265
Bahamas,393248
Bermuda,63903
Maldives,540542
Norway,5379475
Thailand,69799978
Portugal,10305564
Denmark,5831404
Fr. Polynesia,280904
Greece,10715549
Georgia,3714000
Liberia,5057677
Mozambique,31255435
North Korea,25778815
Saint Lucia,183629
Niger,24206636
Serbia,6908224
Latvia,1901548
Tonga,105697
Uganda,45741000
Barbados,287371
Solomon Is.,686878
Sweden,10353442
Switzerland,8636896
Paraguay,7132530
Sierra Leone,7976985
Lebanon,6825442
Mauritius,1265740
Austria,8917205
South Africa,59308690
Togo,8278737
Eritrea,NA
Estonia,1331057
Venezuela,28435943
Mexico,128932753
Cote d'Ivoire,26378275
India,1380004385
Morocco,36910558
Mali,20250834
Seychelles,98462
Brunei,437483
Slovakia,5458827
Malaysia,32365998
Marshall Is.,59194
Ethiopia,114963583
Trinidad and Tobago,1399491
Vanuatu,307150
Singapore,5685807
Libya,6871287
Benin,12123198
Armenia,2963234
Sint Maarten,40812
Cayman Is.,65720
St-Martin,38659
Moldova,2617820
Ireland,4994724
Kyrgyzstan,6591600
San Marino,33938
Netherlands,17441139
Malawi,19129955
Canada,38005238
Ecuador,17643060
Faeroe Is.,48865
Madagascar,27691019
Eq. Guinea,1402985
Somalia,15893219
Nicaragua,6624554
Albania,2837743
Myanmar,54409794
Gabon,2225728
Haiti,11402533
Puerto Rico,3194034
Slovenia,2100126
Cyprus,1207361
Guatemala,16858333
Australia,25687041
Argentina,45376763
Namibia,2540916
Turkmenistan,6031187
New Caledonia,271960
Luxembourg,632275
Panama,4314768
Qatar,2881060
Zambia,18383956
Tajikistan,9537642
Macao,649342
Greenland,56367
Costa Rica,5094114
American Samoa,55197
St. Vin. and Gren.,110947
Bosnia and Herz.,3280815
Jamaica,2961161
Syria,17500657
Jordan,10203140
Cambodia,16718971
Nepal,29136808
