ISO_CODE,Population (people),Color,Inset,Label,DisplayName
AFG,38326027,,,AFG,Afghanistan
AGO,32898997,,,AGO,Angola
ALB,2872130,,,ALB,Albania
AND,77020,,,AND,Andorra
ARE,9247550,,,ARE,United Arab Emirates
ARG,44908441,,,ARG,Argentina
ARM,2812496,,,ARM,Armenia
ATG,92377,,,ATG,Antigua and Barbuda
AUS,25544179,,,AUS,Australia
AUT,8901106,,,AUT,Austria
AZE,10273528,,,AZE,Azerbaijan
BDI,12053897,,,BDI,Burundi
BEL,11541273,,,BEL,Belgium
BEN,12466819,,,BEN,Benin
BFA,21231893,,,BFA,Burkina Faso
BGD,166426993,,,BGD,Bangladesh
BGR,7020235,,,BGR,Bulgaria
BHR,1494033,,,BHR,Bahrain
BHS,405779,,,BHS,Bahamas
BIH,3340974,,,BIH,Bosnia and Herzegovina
BLR,9661044,,,BLR,Belarus
BLZ,392426,,,BLZ,Belize
BOL,11862346,,,BOL,Bolivia (Plurinational State of)
BRA,212564935,,,BRA,Brazil
BRB,280427,,,BRB,Barbados
BRN,439893,,,BRN,Brunei Darussalam
BTN,770004,,,BTN,Bhutan
BWA,2523541,,,BWA,Botswana
CAF,5272026,,,CAF,Central African Republic
CAN,37758232,,,CAN,Canada
CHE,8606431,,,CHE,Switzerland
CHL,19206688,,,CHL,Chile
CHN,1423998019,,,CHN,China
CIV,26477574,,,CIV,Côte d'Ivoire
CMR,26137129,,,CMR,Cameroon
COD,91331950,,,COD,Democratic Republic of the Congo
COG,5635288,,,COG,Congo
COL,50617028,,,COL,Colombia
COM,798326,,,COM,Comoros
CPV,579933,,,CPV,Cabo Verde
CRI,5105359,,,CRI,Costa Rica
CUB,11309236,,,CUB,Cuba
CYP,1233778,,,CYP,Cyprus
CZE,10537911,,,CZE,Czechia
DEU,83267655,,,DEU,Germany
DJI,1082344,,,DJI,Djibouti
DMA,71764,,,DMA,Dominica
DNK,5810778,,,DNK,Denmark
DOM,10939347,,,DOM,Dominican Republic
DZA,43090987,,,DZA,Algeria
ECU,17487163,,,ECU,Ecuador
EGY,106538719,,,EGY,Egypt
ERI,3523653,,,ERI,Eritrea
ESH,551245,,,ESH,Western Sahara
ESP,47329954,,,ESP,Spain
EST,1329086,,,EST,Estonia
ETH,115638360,,,ETH,Ethiopia
FIN,5525215,,,FIN,Finland
FJI,918091,,,FJI,Fiji
FRA,64457760,,,FRA,France
FSM,111589,,,FSM,Micronesia (Fed. States of)
GAB,2267995,,,GAB,Gabon
GBR,66951174,,,GBR,United Kingdom
GEO,3769183,,,GEO,Georgia
GHA,31849246,,,GHA,Ghana
GIN,13041586,,,GIN,Guinea
GMB,2541049,,,GMB,Gambia
GNB,1993303,,,GNB,Guinea-Bissau
GNQ,1578373,,,GNQ,Equatorial Guinea
GRC,10543346,,,GRC,Greece
GRD,123159,,,GRD,Grenada
GRL,55934,,,GRL,Greenland
GTM,17231172,,,GTM,Guatemala
GUY,791842,,,GUY,Guyana
HND,10041790,,,HND,Honduras
