name,Population (people),color,id,Label
Afghanistan,34124811,#66A61E,1,AFG
Albania,3047987,#1B9E77,2,ALB
Algeria,40969443,#66A61E,3,DZA
American Samoa,51504,#E7298A,4,ASM
Andorra,85702,#1B9E77,5,AND
Angola,29310273,#7570B3,6,AGO
Anguilla,17087,#E6AB02,7,AIA
Antigua and Barb.,94731,#D95F02,9,ATG
Argentina,44293293,#7570B3,10,ARG
Armenia,3045191,#7570B3,11,ARM
Aruba,115120,#E7298A,12,ABW
Ashmore and Cartier Is.,0,#1B9E77,13,---
Australia,23232413,#1B9E77,14,AUS
Austria,8754413,#7570B3,15,AUT
Azerbaijan,9961396,#1B9E77,16,AZE
Bahamas,329988,#1B9E77,17,BHS
Bahrain,1410942,#1B9E77,18,BHR
Bangladesh,157826578,#7570B3,19,BGD
Barbados,292336,#E7298A,20,BRB
Belarus,9549747,#1B9E77,21,BLR
Belgium,11491346,#7570B3,22,BEL
Belize,360346,#1B9E77,23,BLZ
Benin,11038805,#1B9E77,24,BEN
Bermuda,70864,#E6AB02,25,BMU
Bhutan,758288,#66A61E,26,BTN
Bolivia,11138234,#1B9E77,27,BOL
Bosnia and Herz.,3856181,#1B9E77,28,BIH
Botswana,2214858,#E6AB02,29,BWA
Br. Indian Ocean Ter.,4000,#E6AB02,30,IOT
Brazil,207353391,#66A61E,31,BRA
British Virgin Is.,35015,#E6AB02,32,VGB
Brunei,443593,#E7298A,33,BRN
Bulgaria,7101510,#E7298A,34,BGR
Burkina Faso,20107509,#D95F02,35,BFA
Burundi,11466756,#D95F02,36,BDI
Cabo Verde,560899,#1B9E77,37,CPV
Cambodia,16204486,#E6AB02,38,KHM
Cameroon,24994885,#1B9E77,39,CMR
Canada,35623680,#E6AB02,40,CAN
Cayman Is.,58441,#E6AB02,41,CYM
Central African Rep.,5625118,#66A61E,42,CAF
Chad,12075985,#E6AB02,43,TCD
Chile,17789267,#66A61E,44,CHL
China,1379302771,#E7298A,45,CHN
Colombia,47698524,#D95F02,46,COL
Comoros,808080,#D95F02,47,COM
Congo,4954674,#D95F02,48,COG
Cook Is.,9290,#7570B3,49,COK
Costa Rica,4930258,#7570B3,50,CRI
Croatia,4292095,#66A61E,51,HRV
Cuba,11147407,#7570B3,52,CUB
Curaçao,149648,#E7298A,53,CUW
Cyprus,1221549,#1B9E77,54,CYP
Czechia,10674723,#1B9E77,55,CZE
Côte d'Ivoire,24184810,#E7298A,56,CIV
Dem. Rep. Congo,83301151,#E7298A,57,COD
Denmark,5605948,#E7298A,58,DNK
Djibouti,865267,#1B9E77,59,DJI
Dominica,73897,#E7298A,60,DMA
Dominican Rep.,10734247,#66A61E,61,DOM
Ecuador,16290913,#1B9E77,62,ECU
Egypt,97041072,#E7298A,63,EGY
El Salvador,6172011,#1B9E77,64,SLV
Eq. Guinea,778358,#E7298A,65,GNQ
Eritrea,5918919,#7570B3,66,ERI
Estonia,1251581,#7570B3,67,EST
Ethiopia,105350020,#E7298A,68,ETH
Faeroe Is.,50730,#E7298A,69,FRO
Falkland Is.,2931,#E6AB02,70,FLK
Fiji,920938,#66A61E,71,FJI
Finland,5491218,#E7298A,72,FIN
Fr. Polynesia,287881,#A6761D,73,PYF
Fr. S. Antarctic Lands,140,#A6761D,74,ATF
France,67106161,#A6761D,75,FRA
Gabon,1772255,#E6AB02,76,GAB
Gambia,2051363,#1B9E77,77,GMB
Georgia,4926330,#66A61E,78,GEO
Germany,80594017,#D95F02,79,DEU
Ghana,27499924,#66A61E,80,GHA
Greece,10768477,#D95F02,81,GRC
Greenland,57713,#E7298A,82,GRL
Grenada,111724,#D95F02,83,GRD
Guam,167358,#E7298A,84,GUM
Guatemala,15460732,#7570B3,85,GTM
Guernsey,66502,#E6AB02,86,GGY
Guinea,12413867,#E6AB02,87,GIN
Guinea-Bissau,1792338,#7570B3,88,GNB
Guyana,737718,#7570B3,89,GUY
Haiti,10646714,#D95F02,90,HTI
Heard I. and McDonald Is.,0,#1B9E77,91,HMD
Honduras,9038741,#D95F02,92,HND
Hong Kong,7191503,#E7298A,93,HKG
Hungary,9850845,#E7298A,94,HUN
Iceland,339747,#1B9E77,95,ISL
India,1281935911,#1B9E77,96,IND
Indian Ocean Ter.,2801,#1B9E77,97,UMI
