cartogram_id,GDP
1,20682000000
2,NA
3,17210000000
4,1.93E+11
5,NA
6,2858406626
7,96426000000
8,337520470
9,NA
10,NA
11,5.15E+11
12,13868000000
13,2952000000
14,1.48E+12
15,4.82E+11
16,47429000000
17,13710000000
18,40707000000
19,3.43E+11
20,5339000000
21,63664000000
22,5.54E+11
23,2071000000
24,12129000000
25,6127341000
26,2939000000
27,47052000000
28,NA
29,20873000000
30,NA
31,2.06E+12
32,971237110
33,14281000000
34,71746000000
35,16266000000
36,3714000000
37,2208000000
38,29309000000
39,42047000000
40,1.83E+12
41,3844080626
42,2485000000
43,12547000000
44,3.14E+11
45,1.55E+13
46,3.53E+11
47,773000000
48,11367000000
49,290194195
50,63460000000
51,49882000000
52,64590000000
53,89688700000
54,3121449966
55,26348000000
56,2.60E+11
57,52475000000
58,3.65E+11
59,2599000000
60,590000000
61,90459000000
62,1.08E+11
63,3.31E+11
64,28202000000
65,12263000000
66,8116000000
67,33235000000
68,NA
69,99371000000
70,NA
71,NA
72,5671000000
73,2.89E+11
74,5417934152
75,NA
76,2.88E+12
77,17893000000
78,1870000000
79,18888000000
80,4.16E+12
81,72264000000
82,NA
83,2.31E+11
84,2282927882
85,1330000000
86,NA
87,87629000000
88,NA
89,13603000000
90,1669000000
91,4609000000
92,9648000000
93,NA
94,25560000000
95,4.02E+11
96,1.78E+11
97,26821000000
98,3.26E+12
99,1.21E+12
100,4.96E+11
101,2.47E+11
102,4.05E+11
103,NA
104,4.04E+11
105,2.09E+12
106,16717000000
107,5.50E+12
108,NA
109,46451000000
110,1.77E+11
111,1.09E+11
112,196000000
113,NA
114,1.43E+11
115,8781000000
116,22013000000
117,38102000000
118,60620000000
119,2892000000
120,3217000000
121,50424000000
122,6193677543
123,57602000000
124,73693000000
125,62158000000
126,13700000000
127,13542000000
128,7861000000
129,4.02E+11
130,6213000000
131,19332000000
132,16338000000
133,228000000
134,5697000000
135,15757000000
136,1.30E+12
137,389000000
138,12793000000
139,6468000877
140,14960000000
141,5740000000
142,62051375
143,1.29E+11
144,16294000000
145,71403000000
146,NA
147,NA
148,14627000000
149,117000000
150,33035000000
151,9.55E+11
152,9445714851
153,2.25E+11
154,12459000000
155,10628000000
156,4.96E+11
157,NA
158,NA
159,16788601831
160,4.39E+11
161,84158000000
162,2.83E+11
163,324000000
164,13397100000
165,75494000000
166,22114000000
167,45376000000
168,2.44E+11
169,3.89E+11
170,NA
171,6.43E+11
172,2.50E+11
173,1.04E+11
174,2.04E+11
175,2.63E+11
176,1.67E+12
177,11062000000
178,NA
179,2796000000
180,NA
181,2069000000
182,960000000
183,1672000000
184,527000000
185,7.90E+11
186,28062000000
187,56886000000
188,1739000000
189,NA
190,4221000000
191,3.92E+11
192,1072067039
193,1.17E+11
194,58213000000
195,1607000000
196,8341000000
197,NA
198,3.87E+11
199,1.74E+12
200,1.50E+12
201,89942000000
202,NA
203,NA
204,1118000000
205,NA
206,903000000
207,82887395895
208,3919000000
209,5.77E+11
210,7.41E+11
211,22163075121
212,6.34E+11
213,7838000000
214,64888000000
215,5.47E+11
216,3413000000
217,6132000000
218,512000000
219,23235000000
220,35150000000
221,8.10E+11
222,57059000000
223,917550492
224,NA
225,NA
226,NA
227,33620000000
228,1.47E+11
229,4.49E+11
230,2.93E+12
231,2.22E+13
232,63421000000
233,55482000000
234,994000000
235,NA
236,70106000000
237,2.82E+11
238,NA
239,NA
240,31385000000
241,25272000000
242,25812000000
